Day,Time,Channel#,Photon Energy (keV)
10/9/2023,16:37:34.739,43,0
10/9/2023,16:37:34.739,77,0
10/9/2023,16:37:34.739,81,0
10/9/2023,16:37:34.739,82,0
10/9/2023,16:37:34.739,61,0
10/9/2023,16:37:35.739,33,0
10/9/2023,16:37:36.740,32,0
10/9/2023,16:37:36.740,573,0
10/9/2023,16:37:36.740,55,0
10/9/2023,16:37:36.740,48,0
10/9/2023,16:37:37.740,37,0
10/9/2023,16:37:37.740,53,0
10/9/2023,16:37:38.740,78,0
10/9/2023,16:37:38.740,58,0
10/9/2023,16:37:38.740,41,0
10/9/2023,16:37:38.740,58,0
10/9/2023,16:37:38.740,127,0
10/9/2023,16:37:39.741,414,0
10/9/2023,16:37:39.741,69,0
10/9/2023,16:37:39.741,66,0
10/9/2023,16:37:39.741,476,0
10/9/2023,16:37:39.741,32,0
10/9/2023,16:37:40.740,92,0
10/9/2023,16:37:40.740,35,0
10/9/2023,16:37:41.740,128,0
10/9/2023,16:37:41.740,115,0
10/9/2023,16:37:41.740,117,0
10/9/2023,16:37:41.740,63,0
10/9/2023,16:37:42.740,57,0
10/9/2023,16:37:42.740,277,0
10/9/2023,16:37:42.740,807,0
10/9/2023,16:37:43.740,85,0
10/9/2023,16:37:43.740,204,0
10/9/2023,16:37:43.740,48,0
10/9/2023,16:37:43.740,92,0
10/9/2023,16:37:44.741,274,0
10/9/2023,16:37:44.741,99,0
10/9/2023,16:37:44.741,167,0
10/9/2023,16:37:44.741,141,0
10/9/2023,16:37:44.741,42,0
10/9/2023,16:37:44.741,37,0
10/9/2023,16:37:44.741,268,0
10/9/2023,16:37:44.741,136,0
10/9/2023,16:37:45.740,46,0
10/9/2023,16:37:45.740,32,0
10/9/2023,16:37:45.740,89,0
10/9/2023,16:37:45.740,73,0
10/9/2023,16:37:45.740,125,0
10/9/2023,16:37:46.742,33,0
10/9/2023,16:37:46.742,43,0
10/9/2023,16:37:46.742,34,0
10/9/2023,16:37:47.741,49,0
10/9/2023,16:37:47.741,161,0
10/9/2023,16:37:47.741,69,0
10/9/2023,16:37:48.742,289,0
10/9/2023,16:37:49.742,655,0
10/9/2023,16:37:49.742,66,0
10/9/2023,16:37:50.742,45,0
10/9/2023,16:37:50.742,143,0
10/9/2023,16:37:52.165,139,0
10/9/2023,16:37:52.165,231,0
10/9/2023,16:37:52.165,261,0
10/9/2023,16:37:52.165,62,0
10/9/2023,16:37:52.165,91,0
10/9/2023,16:37:52.165,70,0
10/9/2023,16:37:54.323,232,0
10/9/2023,16:37:54.323,41,0
10/9/2023,16:37:54.323,49,0
10/9/2023,16:37:55.458,45,0
10/9/2023,16:37:57.618,190,0
10/9/2023,16:37:57.618,54,0
10/9/2023,16:37:57.618,104,0
10/9/2023,16:37:58.417,203,0
10/9/2023,16:37:58.417,67,0
10/9/2023,16:37:58.417,34,0
10/9/2023,16:37:58.417,230,0
10/9/2023,16:37:58.417,67,0
10/9/2023,16:37:58.417,64,0
10/9/2023,16:37:59.428,124,0
10/9/2023,16:37:59.428,161,0
10/9/2023,16:37:59.428,283,0
10/9/2023,16:38:01.374,184,0
10/9/2023,16:38:01.374,66,0
10/9/2023,16:38:01.374,89,0
10/9/2023,16:38:01.374,68,0
10/9/2023,16:38:01.374,65,0
10/9/2023,16:38:01.374,36,0
10/9/2023,16:38:01.374,64,0
10/9/2023,16:38:01.374,51,0
10/9/2023,16:38:01.374,32,0
10/9/2023,16:38:03.648,83,0
10/9/2023,16:38:04.676,158,0
10/9/2023,16:38:05.566,554,0
10/9/2023,16:38:05.566,91,0
10/9/2023,16:38:05.566,206,0
10/9/2023,16:38:05.566,45,0
10/9/2023,16:38:05.566,74,0
10/9/2023,16:38:05.566,80,0
10/9/2023,16:38:06.618,66,0
10/9/2023,16:38:06.618,35,0
10/9/2023,16:38:06.618,76,0
10/9/2023,16:38:07.598,66,0
10/9/2023,16:38:08.798,76,0
10/9/2023,16:38:08.798,243,0
10/9/2023,16:38:08.798,39,0
10/9/2023,16:38:08.798,55,0
10/9/2023,16:38:09.606,99,0
10/9/2023,16:38:09.606,112,0
10/9/2023,16:38:12.997,81,0
10/9/2023,16:38:12.997,57,0
10/9/2023,16:38:13.966,1324,0
10/9/2023,16:38:15.581,50,0
10/9/2023,16:38:15.581,79,0
10/9/2023,16:38:16.565,1465,0
10/9/2023,16:38:17.487,56,0
10/9/2023,16:38:17.487,226,0
10/9/2023,16:38:17.487,164,0
10/9/2023,16:38:19.113,217,0
10/9/2023,16:38:19.113,103,0
10/9/2023,16:38:20.728,105,0
10/9/2023,16:38:20.728,60,0
10/9/2023,16:38:20.728,223,0
10/9/2023,16:38:20.728,669,0
10/9/2023,16:38:20.728,33,0
10/9/2023,16:38:20.728,276,0
10/9/2023,16:38:21.495,94,0
10/9/2023,16:38:21.495,258,0
10/9/2023,16:38:21.495,1455,0
10/9/2023,16:38:21.495,134,0
10/9/2023,16:38:21.495,57,0
10/9/2023,16:38:22.570,33,0
10/9/2023,16:38:22.570,151,0
10/9/2023,16:38:22.570,172,0
10/9/2023,16:38:22.570,45,0
10/9/2023,16:38:22.570,156,0
10/9/2023,16:38:23.472,54,0
10/9/2023,16:38:23.472,42,0
10/9/2023,16:38:23.472,38,0
10/9/2023,16:38:24.604,43,0
10/9/2023,16:38:24.604,42,0
10/9/2023,16:38:24.604,74,0
10/9/2023,16:38:26.786,49,0
10/9/2023,16:38:26.786,86,0
10/9/2023,16:38:27.489,64,0
10/9/2023,16:38:27.489,105,0
10/9/2023,16:38:27.489,92,0
10/9/2023,16:38:28.996,56,0
10/9/2023,16:38:28.996,49,0
10/9/2023,16:38:28.996,254,0
10/9/2023,16:38:28.996,39,0
10/9/2023,16:38:31.829,39,0
10/9/2023,16:38:33.935,68,0
10/9/2023,16:38:33.935,1455,0
10/9/2023,16:38:34.885,41,0
10/9/2023,16:38:34.885,307,0
10/9/2023,16:38:35.495,192,0
10/9/2023,16:38:36.469,157,0
10/9/2023,16:38:36.469,64,0
10/9/2023,16:38:36.469,33,0
10/9/2023,16:38:37.442,67,0
10/9/2023,16:38:37.442,40,0
10/9/2023,16:38:37.442,35,0
10/9/2023,16:38:37.442,203,0
10/9/2023,16:38:38.622,59,0
10/9/2023,16:38:38.622,62,0
10/9/2023,16:38:38.622,44,0
10/9/2023,16:38:40.279,32,0
10/9/2023,16:38:40.279,411,0
10/9/2023,16:38:40.279,39,0
10/9/2023,16:38:40.279,137,0
10/9/2023,16:38:40.279,51,0
10/9/2023,16:38:42.548,35,0
10/9/2023,16:38:42.548,206,0
10/9/2023,16:38:42.548,121,0
10/9/2023,16:38:42.548,34,0
10/9/2023,16:38:42.548,51,0
10/9/2023,16:38:43.676,55,0
10/9/2023,16:38:43.676,57,0
10/9/2023,16:38:43.676,160,0
10/9/2023,16:38:46.587,54,0
10/9/2023,16:38:46.587,1394,0
10/9/2023,16:38:46.587,46,0
10/9/2023,16:38:46.587,60,0
10/9/2023,16:38:47.586,34,0
10/9/2023,16:38:47.586,58,0
10/9/2023,16:38:47.586,113,0
10/9/2023,16:38:47.586,153,0
10/9/2023,16:38:49.138,114,0
10/9/2023,16:38:49.138,198,0
10/9/2023,16:38:49.138,63,0
10/9/2023,16:38:49.138,87,0
10/9/2023,16:38:49.138,1386,0
10/9/2023,16:38:49.138,51,0
10/9/2023,16:38:50.603,36,0
10/9/2023,16:38:50.603,41,0
10/9/2023,16:38:51.566,52,0
10/9/2023,16:38:51.566,68,0
10/9/2023,16:38:52.755,94,0
10/9/2023,16:38:52.755,32,0
10/9/2023,16:38:57.582,76,0
10/9/2023,16:38:57.582,83,0
10/9/2023,16:38:57.582,85,0
10/9/2023,16:38:57.582,80,0
10/9/2023,16:38:57.582,63,0
10/9/2023,16:38:58.575,60,0
10/9/2023,16:38:59.689,54,0
10/9/2023,16:38:59.689,72,0
10/9/2023,16:38:59.689,126,0
10/9/2023,16:38:59.689,149,0
10/9/2023,16:39:00.770,384,0
10/9/2023,16:39:00.770,48,0
10/9/2023,16:39:00.770,51,0
10/9/2023,16:39:06.390,102,0
10/9/2023,16:39:06.390,43,0
10/9/2023,16:39:06.718,45,0
10/9/2023,16:39:07.633,34,0
10/9/2023,16:39:07.633,39,0
10/9/2023,16:39:07.633,126,0
10/9/2023,16:39:07.633,33,0
10/9/2023,16:39:07.633,37,0
10/9/2023,16:39:08.572,35,0
10/9/2023,16:39:08.572,38,0
10/9/2023,16:39:08.572,82,0
10/9/2023,16:39:09.609,103,0
10/9/2023,16:39:09.609,33,0
10/9/2023,16:39:09.609,71,0
10/9/2023,16:39:09.609,37,0
10/9/2023,16:39:09.609,110,0
10/9/2023,16:39:09.609,39,0
10/9/2023,16:39:09.609,274,0
10/9/2023,16:39:10.569,62,0
10/9/2023,16:39:10.569,65,0
10/9/2023,16:39:10.569,267,0
10/9/2023,16:39:11.875,51,0
10/9/2023,16:39:11.875,139,0
10/9/2023,16:39:11.875,147,0
10/9/2023,16:39:11.875,49,0
10/9/2023,16:39:11.875,35,0
10/9/2023,16:39:11.875,43,0
10/9/2023,16:39:13.590,63,0
10/9/2023,16:39:13.590,45,0
10/9/2023,16:39:14.660,49,0
10/9/2023,16:39:14.660,56,0
10/9/2023,16:39:14.660,75,0
10/9/2023,16:39:14.660,59,0
10/9/2023,16:39:15.609,43,0
10/9/2023,16:39:15.609,757,0
10/9/2023,16:39:15.609,266,0
10/9/2023,16:39:15.609,40,0
10/9/2023,16:39:15.609,261,0
10/9/2023,16:39:16.765,62,0
10/9/2023,16:39:16.765,199,0
10/9/2023,16:39:16.765,82,0
10/9/2023,16:39:18.642,61,0
10/9/2023,16:39:18.642,88,0
10/9/2023,16:39:21.836,53,0
10/9/2023,16:39:22.652,182,0
10/9/2023,16:39:22.652,60,0
10/9/2023,16:39:22.652,57,0
10/9/2023,16:39:23.861,139,0
10/9/2023,16:39:23.861,44,0
10/9/2023,16:39:24.863,72,0
10/9/2023,16:39:25.620,54,0
10/9/2023,16:39:25.620,273,0
10/9/2023,16:39:26.674,36,0
10/9/2023,16:39:26.674,62,0
10/9/2023,16:39:26.674,175,0
10/9/2023,16:39:27.617,63,0
10/9/2023,16:39:28.670,53,0
10/9/2023,16:39:28.670,437,0
10/9/2023,16:39:29.743,70,0
10/9/2023,16:39:29.743,72,0
10/9/2023,16:39:29.743,102,0
10/9/2023,16:39:30.843,62,0
10/9/2023,16:39:30.843,105,0
10/9/2023,16:39:31.820,36,0
10/9/2023,16:39:31.820,91,0
10/9/2023,16:39:33.329,57,0
10/9/2023,16:39:33.680,111,0
10/9/2023,16:39:34.979,82,0
10/9/2023,16:39:36.658,763,0
10/9/2023,16:39:37.849,32,0
10/9/2023,16:39:37.849,52,0
10/9/2023,16:39:37.849,53,0
10/9/2023,16:39:38.911,115,0
10/9/2023,16:39:38.911,32,0
10/9/2023,16:39:40.607,469,0
10/9/2023,16:39:40.607,69,0
10/9/2023,16:39:40.607,73,0
10/9/2023,16:39:41.655,45,0
10/9/2023,16:39:41.655,43,0
10/9/2023,16:39:42.614,346,0
10/9/2023,16:39:42.614,255,0
10/9/2023,16:39:43.893,81,0
10/9/2023,16:39:43.893,69,0
10/9/2023,16:39:43.893,226,0
10/9/2023,16:39:43.893,109,0
10/9/2023,16:39:43.893,220,0
10/9/2023,16:39:44.672,66,0
10/9/2023,16:39:44.672,57,0
10/9/2023,16:39:44.672,50,0
10/9/2023,16:39:44.672,63,0
10/9/2023,16:39:44.672,34,0
10/9/2023,16:39:44.672,74,0
10/9/2023,16:39:45.796,46,0
10/9/2023,16:39:47.409,51,0
10/9/2023,16:39:47.409,166,0
10/9/2023,16:39:47.409,32,0
10/9/2023,16:39:47.409,112,0
10/9/2023,16:39:47.409,155,0
10/9/2023,16:39:48.621,1068,0
10/9/2023,16:39:48.621,37,0
10/9/2023,16:39:48.621,57,0
10/9/2023,16:39:48.621,49,0
10/9/2023,16:39:49.789,49,0
10/9/2023,16:39:50.915,37,0
10/9/2023,16:39:51.898,139,0
10/9/2023,16:39:52.575,49,0
10/9/2023,16:39:52.575,60,0
10/9/2023,16:39:54.095,149,0
10/9/2023,16:39:54.095,81,0
10/9/2023,16:39:54.095,73,0
10/9/2023,16:39:54.095,171,0
10/9/2023,16:39:54.095,44,0
10/9/2023,16:39:54.095,114,0
10/9/2023,16:39:54.095,131,0
10/9/2023,16:39:54.880,43,0
10/9/2023,16:39:54.880,56,0
10/9/2023,16:39:55.584,54,0
10/9/2023,16:39:55.584,58,0
10/9/2023,16:39:55.584,82,0
10/9/2023,16:39:55.584,56,0
10/9/2023,16:39:55.584,52,0
10/9/2023,16:39:56.791,40,0
10/9/2023,16:39:56.791,65,0
10/9/2023,16:39:56.791,38,0
10/9/2023,16:39:58.367,44,0
10/9/2023,16:39:58.367,117,0
10/9/2023,16:39:58.633,47,0
10/9/2023,16:39:58.633,32,0
10/9/2023,16:39:58.633,36,0
10/9/2023,16:39:59.754,66,0
10/9/2023,16:39:59.754,40,0
10/9/2023,16:39:59.754,44,0
10/9/2023,16:39:59.754,67,0
10/9/2023,16:39:59.754,35,0
10/9/2023,16:39:59.754,1428,0
10/9/2023,16:39:59.754,100,0
10/9/2023,16:40:01.618,81,0
10/9/2023,16:40:01.618,245,0
10/9/2023,16:40:02.669,221,0
10/9/2023,16:40:02.669,80,0
10/9/2023,16:40:02.669,40,0
10/9/2023,16:40:02.669,149,0
10/9/2023,16:40:02.669,142,0
10/9/2023,16:40:02.669,87,0
10/9/2023,16:40:02.669,40,0
10/9/2023,16:40:03.970,45,0
10/9/2023,16:40:03.970,130,0
10/9/2023,16:40:03.970,220,0
10/9/2023,16:40:03.970,82,0
10/9/2023,16:40:03.970,31,0
10/9/2023,16:40:03.970,63,0
10/9/2023,16:40:03.970,285,0
10/9/2023,16:40:03.970,53,0
10/9/2023,16:40:05.691,48,0
10/9/2023,16:40:05.691,249,0
10/9/2023,16:40:07.172,76,0
10/9/2023,16:40:07.172,44,0
10/9/2023,16:40:07.172,317,0
10/9/2023,16:40:08.709,43,0
10/9/2023,16:40:08.709,375,0
10/9/2023,16:40:08.709,59,0
10/9/2023,16:40:10.421,207,0
10/9/2023,16:40:10.421,42,0
10/9/2023,16:40:10.421,76,0
10/9/2023,16:40:10.421,55,0
10/9/2023,16:40:10.421,67,0
10/9/2023,16:40:10.807,56,0
10/9/2023,16:40:12.214,32,0
10/9/2023,16:40:12.214,170,0
10/9/2023,16:40:12.214,137,0
10/9/2023,16:40:12.214,188,0
10/9/2023,16:40:12.214,40,0
10/9/2023,16:40:12.214,163,0
10/9/2023,16:40:12.214,100,0
10/9/2023,16:40:13.263,1479,0
10/9/2023,16:40:13.649,175,0
10/9/2023,16:40:14.627,223,0
10/9/2023,16:40:14.627,36,0
10/9/2023,16:40:14.627,47,0
10/9/2023,16:40:15.726,1191,0
10/9/2023,16:40:15.726,152,0
10/9/2023,16:40:15.726,369,0
10/9/2023,16:40:15.726,71,0
10/9/2023,16:40:15.726,34,0
10/9/2023,16:40:15.726,241,0
10/9/2023,16:40:15.726,557,0
10/9/2023,16:40:17.496,141,0
10/9/2023,16:40:17.496,36,0
10/9/2023,16:40:17.496,238,0
10/9/2023,16:40:17.496,57,0
10/9/2023,16:40:17.496,31,0
10/9/2023,16:40:18.838,116,0
10/9/2023,16:40:18.838,33,0
10/9/2023,16:40:20.073,90,0
10/9/2023,16:40:20.073,38,0
10/9/2023,16:40:20.073,214,0
10/9/2023,16:40:20.073,40,0
10/9/2023,16:40:20.073,221,0
10/9/2023,16:40:21.226,62,0
10/9/2023,16:40:21.226,48,0
10/9/2023,16:40:21.226,598,0
10/9/2023,16:40:21.613,31,0
10/9/2023,16:40:21.613,33,0
10/9/2023,16:40:21.613,69,0
10/9/2023,16:40:22.675,60,0
10/9/2023,16:40:22.675,59,0
10/9/2023,16:40:22.675,83,0
10/9/2023,16:40:22.675,58,0
10/9/2023,16:40:22.675,79,0
10/9/2023,16:40:24.715,100,0
10/9/2023,16:40:24.715,196,0
10/9/2023,16:40:24.715,34,0
10/9/2023,16:40:24.715,93,0
10/9/2023,16:40:25.689,48,0
10/9/2023,16:40:25.689,163,0
10/9/2023,16:40:27.462,194,0
10/9/2023,16:40:27.462,66,0
10/9/2023,16:40:28.749,92,0
10/9/2023,16:40:28.749,448,0
10/9/2023,16:40:28.749,197,0
10/9/2023,16:40:28.749,240,0
10/9/2023,16:40:28.749,122,0
10/9/2023,16:40:30.163,50,0
10/9/2023,16:40:30.163,43,0
