Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,16:37:33.739,0,0,0,1,0,0
10/9/2023,16:37:34.739,5,344,0,1,5,0
10/9/2023,16:37:35.739,1,33,0,1,1,0
10/9/2023,16:37:36.740,4,708,0,1,4,0
10/9/2023,16:37:37.740,2,90,0,1,2,0
10/9/2023,16:37:38.740,5,362,0,1,5,0
10/9/2023,16:37:39.741,5,1057,0,1,5,0
10/9/2023,16:37:40.740,2,127,0,1,2,0
10/9/2023,16:37:41.740,4,423,0,1,4,0
10/9/2023,16:37:42.740,3,1141,0,1,3,0
10/9/2023,16:37:43.740,4,429,0,1,4,0
10/9/2023,16:37:44.741,8,1164,0,1,8,0
10/9/2023,16:37:45.740,5,365,0,1,5,0
10/9/2023,16:37:46.742,3,110,0,1,3,0
10/9/2023,16:37:47.741,3,279,0,1,3,0
10/9/2023,16:37:48.742,1,289,0,1,1,0
10/9/2023,16:37:49.742,2,721,0,1,2,0
10/9/2023,16:37:50.742,2,188,0,1,2,0
10/9/2023,16:37:52.165,6,854,0,1,4,0
10/9/2023,16:37:54.323,3,322,0,2,1,0
10/9/2023,16:37:54.524,0,0,0,0,0,0
10/9/2023,16:37:55.458,1,45,0,1,1,0
10/9/2023,16:37:56.378,0,0,0,1,0,0
10/9/2023,16:37:57.618,3,348,0,1,2,0
10/9/2023,16:37:58.417,6,665,0,1,8,0
10/9/2023,16:37:59.428,3,568,0,1,3,0
10/9/2023,16:38:01.374,9,655,0,2,5,0
10/9/2023,16:38:02.293,0,0,0,1,0,0
10/9/2023,16:38:02.505,0,0,0,0,0,0
10/9/2023,16:38:03.648,1,83,0,1,1,0
10/9/2023,16:38:04.676,1,158,0,1,1,0
10/9/2023,16:38:05.566,6,1050,0,1,7,0
10/9/2023,16:38:06.618,3,177,0,1,3,0
10/9/2023,16:38:07.598,1,66,0,1,1,0
10/9/2023,16:38:08.798,4,413,0,1,3,0
10/9/2023,16:38:09.606,2,211,0,1,2,0
10/9/2023,16:38:10.753,0,0,0,1,0,0
10/9/2023,16:38:11.465,0,0,0,1,0,0
10/9/2023,16:38:12.997,2,138,0,2,1,0
10/9/2023,16:38:13.966,1,1324,0,1,1,0
10/9/2023,16:38:14.561,0,0,0,1,0,0
10/9/2023,16:38:15.581,2,129,0,1,2,0
10/9/2023,16:38:16.565,1,1465,0,1,1,0
10/9/2023,16:38:17.487,3,446,0,1,3,0
10/9/2023,16:38:19.113,2,320,0,2,1,0
10/9/2023,16:38:19.703,0,0,0,1,0,0
10/9/2023,16:38:20.728,6,1366,0,1,6,0
10/9/2023,16:38:21.495,5,1998,0,1,7,0
10/9/2023,16:38:22.570,5,557,0,1,5,0
10/9/2023,16:38:23.472,3,134,0,1,3,0
10/9/2023,16:38:24.604,3,159,0,1,3,0
10/9/2023,16:38:25.514,0,0,0,1,0,0
10/9/2023,16:38:26.786,2,135,0,1,2,0
10/9/2023,16:38:27.489,3,261,0,1,4,0
10/9/2023,16:38:28.996,4,398,0,2,3,0
10/9/2023,16:38:30.003,0,0,0,1,0,0
10/9/2023,16:38:30.633,0,0,0,1,0,0
10/9/2023,16:38:31.829,1,39,0,1,1,0
10/9/2023,16:38:32.504,0,0,0,1,0,0
10/9/2023,16:38:33.935,2,1523,0,1,1,0
10/9/2023,16:38:34.885,2,348,0,1,2,0
10/9/2023,16:38:35.495,1,192,0,1,2,0
10/9/2023,16:38:36.469,3,254,0,1,3,0
10/9/2023,16:38:37.442,4,345,0,1,4,0
10/9/2023,16:38:38.622,3,165,0,1,3,0
10/9/2023,16:38:40.279,5,670,0,2,3,0
10/9/2023,16:38:40.439,0,0,0,0,0,0
10/9/2023,16:38:42.548,5,447,0,2,2,0
10/9/2023,16:38:42.825,0,0,0,0,0,0
10/9/2023,16:38:43.676,3,272,0,1,4,0
10/9/2023,16:38:44.740,0,0,0,1,0,0
10/9/2023,16:38:45.994,0,0,0,1,0,0
10/9/2023,16:38:46.587,4,1554,0,1,7,0
10/9/2023,16:38:47.586,4,358,0,1,4,0
10/9/2023,16:38:49.138,6,1899,0,2,4,0
10/9/2023,16:38:49.708,0,0,0,1,0,0
10/9/2023,16:38:50.603,2,77,0,1,2,0
10/9/2023,16:38:51.566,2,120,0,1,2,0
10/9/2023,16:38:52.755,2,126,0,1,2,0
10/9/2023,16:38:53.799,0,0,0,1,0,0
10/9/2023,16:38:55.361,0,0,0,2,0,0
10/9/2023,16:38:55.629,0,0,0,0,0,0
10/9/2023,16:38:56.667,0,0,0,1,0,0
10/9/2023,16:38:57.582,5,387,0,1,5,0
10/9/2023,16:38:58.575,1,60,0,1,1,0
10/9/2023,16:38:59.689,4,401,0,1,4,0
10/9/2023,16:39:00.770,3,483,0,1,3,0
10/9/2023,16:39:02.073,0,0,0,1,0,0
10/9/2023,16:39:03.431,0,0,0,1,0,0
10/9/2023,16:39:03.635,0,0,0,0,0,0
10/9/2023,16:39:04.938,0,0,0,1,0,0
10/9/2023,16:39:06.390,2,145,0,1,1,0
10/9/2023,16:39:06.718,1,45,0,0,3,0
10/9/2023,16:39:07.633,5,269,0,1,5,0
10/9/2023,16:39:08.572,3,155,0,1,3,0
10/9/2023,16:39:09.609,7,667,0,1,7,0
10/9/2023,16:39:10.569,3,394,0,1,3,0
10/9/2023,16:39:11.875,6,464,0,1,5,0
10/9/2023,16:39:12.846,0,0,0,1,0,0
10/9/2023,16:39:13.590,2,108,0,1,3,0
10/9/2023,16:39:14.660,4,239,0,1,4,0
10/9/2023,16:39:15.609,5,1367,0,1,5,0
10/9/2023,16:39:16.765,3,343,0,1,3,0
10/9/2023,16:39:17.611,0,0,0,1,0,0
10/9/2023,16:39:18.642,2,149,0,1,2,0
10/9/2023,16:39:20.502,0,0,0,2,0,0
10/9/2023,16:39:21.117,0,0,0,1,0,0
10/9/2023,16:39:21.836,1,53,0,1,1,0
10/9/2023,16:39:22.652,3,299,0,1,4,0
10/9/2023,16:39:23.861,2,183,0,1,2,0
10/9/2023,16:39:24.863,1,72,0,1,1,0
10/9/2023,16:39:25.620,2,327,0,1,3,0
10/9/2023,16:39:26.674,3,273,0,1,3,0
10/9/2023,16:39:27.617,1,63,0,1,1,0
10/9/2023,16:39:28.670,2,490,0,1,2,0
10/9/2023,16:39:29.743,3,244,0,1,3,0
10/9/2023,16:39:30.843,2,167,0,1,2,0
10/9/2023,16:39:31.820,2,127,0,1,2,0
10/9/2023,16:39:33.329,1,57,0,2,1,0
10/9/2023,16:39:33.680,1,111,0,0,3,0
10/9/2023,16:39:34.979,1,82,0,1,1,0
10/9/2023,16:39:35.837,0,0,0,1,0,0
10/9/2023,16:39:36.658,1,763,0,1,1,0
10/9/2023,16:39:37.849,3,137,0,1,3,0
