Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,15:18:25.141,0,0,0,2,0,0
10/9/2023,15:18:26.156,714,129294,0,1,704,0
10/9/2023,15:18:27.155,646,106962,0,1,646,0
10/9/2023,15:18:28.157,735,125673,0,1,734,0
10/9/2023,15:18:29.162,679,118329,0,1,676,0
10/9/2023,15:18:30.146,714,123310,0,1,725,0
10/9/2023,15:18:31.169,723,128440,0,1,707,0
10/9/2023,15:18:32.148,695,120687,0,1,711,0
10/9/2023,15:18:33.181,704,124540,0,1,682,0
10/9/2023,15:18:34.157,714,125011,0,1,732,0
10/9/2023,15:18:35.150,729,128435,0,1,733,0
10/9/2023,15:18:36.191,686,122825,0,1,659,0
10/9/2023,15:18:37.154,676,117382,0,1,702,0
10/9/2023,15:18:38.175,790,136613,0,1,775,0
10/9/2023,15:18:39.181,720,124395,0,1,716,0
10/9/2023,15:18:40.155,705,125796,0,1,723,0
10/9/2023,15:18:41.167,683,122021,0,1,675,0
10/9/2023,15:18:42.172,759,132278,0,1,755,0
10/9/2023,15:18:43.161,715,127530,0,1,723,0
10/9/2023,15:18:44.149,755,138715,0,1,765,0
10/9/2023,15:18:45.154,700,122907,0,1,696,0
10/9/2023,15:18:46.156,762,135081,0,1,761,0
10/9/2023,15:18:47.155,697,123651,0,1,698,0
10/9/2023,15:18:48.154,667,121566,0,1,667,0
10/9/2023,15:18:49.151,766,133614,0,1,768,0
10/9/2023,15:18:50.155,712,122024,0,1,709,0
10/9/2023,15:18:51.152,741,129110,0,1,743,0
10/9/2023,15:18:52.151,693,124280,0,1,694,0
10/9/2023,15:18:53.152,730,123952,0,1,729,0
10/9/2023,15:18:54.157,719,130734,0,1,715,0
10/9/2023,15:18:55.169,689,118863,0,1,681,0
10/9/2023,15:18:56.154,726,126249,0,1,738,0
10/9/2023,15:18:57.161,725,124152,0,1,720,0
10/9/2023,15:18:58.149,702,128364,0,1,710,0
10/9/2023,15:18:59.153,698,120843,0,1,695,0
10/9/2023,15:19:00.151,712,125306,0,1,713,0
10/9/2023,15:19:01.164,728,128183,0,1,719,0
10/9/2023,15:19:02.164,717,127722,0,1,717,0
10/9/2023,15:19:03.180,703,124604,0,1,693,0
10/9/2023,15:19:04.153,689,122039,0,1,707,0
10/9/2023,15:19:05.168,722,127743,0,1,712,0
10/9/2023,15:19:06.153,714,132335,0,1,724,0
10/9/2023,15:19:07.154,736,129311,0,1,735,0
10/9/2023,15:19:08.152,720,125855,0,1,721,0
10/9/2023,15:19:09.153,731,129420,0,1,730,0
10/9/2023,15:19:10.152,709,124328,0,1,710,0
10/9/2023,15:19:11.169,738,130032,0,1,726,0
10/9/2023,15:19:12.157,705,121147,0,1,714,0
10/9/2023,15:19:13.162,697,120449,0,1,694,0
10/9/2023,15:19:14.172,761,133015,0,1,753,0
10/9/2023,15:19:15.173,747,130582,0,1,747,0
10/9/2023,15:19:16.176,705,126903,0,1,703,0
10/9/2023,15:19:17.160,712,129321,0,1,723,0
10/9/2023,15:19:18.163,759,132665,0,1,757,0
10/9/2023,15:19:19.162,704,124232,0,1,705,0
10/9/2023,15:19:20.161,675,116899,0,1,675,0
10/9/2023,15:19:21.173,707,125616,0,1,699,0
10/9/2023,15:19:22.160,740,130934,0,1,750,0
10/9/2023,15:19:23.159,718,125804,0,1,719,0
10/9/2023,15:19:24.187,676,121665,0,1,658,0
10/9/2023,15:19:25.162,724,125868,0,1,743,0
