Day,Time,Channel#,Photon Energy (keV)
10/9/2023,15:12:45.224,33,0
10/9/2023,15:12:45.224,40,0
10/9/2023,15:12:45.224,89,0
10/9/2023,15:12:46.223,50,0
10/9/2023,15:12:46.223,471,0
10/9/2023,15:12:46.223,79,0
10/9/2023,15:12:46.223,65,0
10/9/2023,15:12:46.223,53,0
10/9/2023,15:12:47.223,178,0
10/9/2023,15:12:47.223,329,0
10/9/2023,15:12:47.223,35,0
10/9/2023,15:12:47.223,52,0
10/9/2023,15:12:47.223,31,0
10/9/2023,15:12:47.223,31,0
10/9/2023,15:12:47.223,63,0
10/9/2023,15:12:47.223,656,0
10/9/2023,15:12:47.223,364,0
10/9/2023,15:12:48.223,52,0
10/9/2023,15:12:48.223,75,0
10/9/2023,15:12:48.223,146,0
10/9/2023,15:12:48.223,117,0
10/9/2023,15:12:48.223,287,0
10/9/2023,15:12:49.223,43,0
10/9/2023,15:12:49.223,100,0
10/9/2023,15:12:49.223,50,0
10/9/2023,15:12:49.223,33,0
10/9/2023,15:12:49.223,109,0
10/9/2023,15:12:49.223,56,0
10/9/2023,15:12:50.224,55,0
10/9/2023,15:12:50.224,87,0
10/9/2023,15:12:50.224,52,0
10/9/2023,15:12:50.224,84,0
10/9/2023,15:12:50.224,51,0
10/9/2023,15:12:51.223,122,0
10/9/2023,15:12:51.223,259,0
10/9/2023,15:12:51.223,44,0
10/9/2023,15:12:52.225,69,0
10/9/2023,15:12:52.225,32,0
10/9/2023,15:12:52.225,74,0
10/9/2023,15:12:52.225,69,0
10/9/2023,15:12:53.224,187,0
10/9/2023,15:12:53.224,194,0
10/9/2023,15:12:53.224,244,0
10/9/2023,15:12:53.224,87,0
10/9/2023,15:12:53.224,97,0
10/9/2023,15:12:53.224,65,0
10/9/2023,15:12:54.224,56,0
10/9/2023,15:12:54.224,476,0
10/9/2023,15:12:54.224,51,0
10/9/2023,15:12:54.224,141,0
10/9/2023,15:12:54.224,157,0
10/9/2023,15:12:55.225,46,0
10/9/2023,15:12:55.225,121,0
10/9/2023,15:12:55.225,49,0
10/9/2023,15:12:55.225,50,0
10/9/2023,15:12:55.225,135,0
10/9/2023,15:12:55.225,691,0
10/9/2023,15:12:55.225,62,0
10/9/2023,15:12:55.225,84,0
10/9/2023,15:12:56.226,56,0
10/9/2023,15:12:56.226,44,0
10/9/2023,15:12:56.226,58,0
10/9/2023,15:12:56.226,60,0
10/9/2023,15:12:56.226,275,0
10/9/2023,15:12:57.225,36,0
10/9/2023,15:12:57.225,135,0
10/9/2023,15:12:57.225,263,0
10/9/2023,15:12:57.225,32,0
10/9/2023,15:12:57.225,60,0
10/9/2023,15:12:58.225,84,0
10/9/2023,15:12:58.225,51,0
10/9/2023,15:12:58.225,130,0
10/9/2023,15:12:58.225,49,0
10/9/2023,15:12:58.225,33,0
10/9/2023,15:12:58.225,172,0
10/9/2023,15:12:58.225,159,0
10/9/2023,15:12:59.226,90,0
10/9/2023,15:12:59.226,58,0
10/9/2023,15:13:00.226,78,0
10/9/2023,15:13:00.226,60,0
10/9/2023,15:13:00.226,51,0
10/9/2023,15:13:00.226,62,0
10/9/2023,15:13:00.226,40,0
10/9/2023,15:13:00.226,247,0
10/9/2023,15:13:01.226,39,0
10/9/2023,15:13:01.226,52,0
10/9/2023,15:13:01.226,134,0
10/9/2023,15:13:01.226,48,0
10/9/2023,15:13:01.226,104,0
10/9/2023,15:13:01.226,61,0
10/9/2023,15:13:01.226,166,0
10/9/2023,15:13:02.226,761,0
10/9/2023,15:13:02.226,50,0
10/9/2023,15:13:02.226,576,0
10/9/2023,15:13:03.227,60,0
10/9/2023,15:13:03.227,40,0
10/9/2023,15:13:03.227,33,0
10/9/2023,15:13:03.227,44,0
10/9/2023,15:13:03.227,199,0
10/9/2023,15:13:04.226,47,0
10/9/2023,15:13:04.226,33,0
10/9/2023,15:13:04.226,42,0
10/9/2023,15:13:04.226,64,0
10/9/2023,15:13:05.226,37,0
10/9/2023,15:13:05.226,51,0
10/9/2023,15:13:05.226,46,0
10/9/2023,15:13:05.226,41,0
10/9/2023,15:13:05.226,81,0
10/9/2023,15:13:05.226,215,0
10/9/2023,15:13:05.226,35,0
10/9/2023,15:13:06.226,147,0
10/9/2023,15:13:06.226,595,0
10/9/2023,15:13:06.226,93,0
10/9/2023,15:13:06.226,46,0
10/9/2023,15:13:06.226,68,0
10/9/2023,15:13:07.227,106,0
10/9/2023,15:13:07.227,60,0
10/9/2023,15:13:08.226,65,0
10/9/2023,15:13:08.226,49,0
10/9/2023,15:13:08.226,114,0
10/9/2023,15:13:09.228,50,0
10/9/2023,15:13:09.228,47,0
10/9/2023,15:13:09.228,153,0
10/9/2023,15:13:10.228,54,0
10/9/2023,15:13:10.228,33,0
10/9/2023,15:13:10.228,195,0
10/9/2023,15:13:10.228,31,0
10/9/2023,15:13:11.229,69,0
10/9/2023,15:13:11.229,58,0
10/9/2023,15:13:11.229,44,0
10/9/2023,15:13:11.229,40,0
