Day,Time,Channel#,Photon Energy (keV)
10/9/2023,14:20:14.472,145,0
10/9/2023,14:20:14.472,286,0
10/9/2023,14:20:14.472,122,0
10/9/2023,14:20:15.473,86,0
10/9/2023,14:20:15.473,42,0
10/9/2023,14:20:16.472,97,0
10/9/2023,14:20:16.472,84,0
10/9/2023,14:20:17.472,144,0
10/9/2023,14:20:17.472,60,0
10/9/2023,14:20:17.472,951,0
10/9/2023,14:20:18.472,40,0
10/9/2023,14:20:18.472,477,0
10/9/2023,14:20:18.472,91,0
10/9/2023,14:20:18.472,62,0
10/9/2023,14:20:18.472,319,0
10/9/2023,14:20:18.472,43,0
10/9/2023,14:20:19.472,122,0
10/9/2023,14:20:20.472,161,0
10/9/2023,14:20:20.472,80,0
10/9/2023,14:20:20.472,48,0
10/9/2023,14:20:20.472,60,0
10/9/2023,14:20:20.472,114,0
10/9/2023,14:20:20.472,804,0
10/9/2023,14:20:20.472,1028,0
10/9/2023,14:20:20.472,44,0
10/9/2023,14:20:21.472,112,0
10/9/2023,14:20:21.472,54,0
10/9/2023,14:20:22.473,162,0
10/9/2023,14:20:22.473,87,0
10/9/2023,14:20:22.473,160,0
10/9/2023,14:20:23.474,66,0
10/9/2023,14:20:23.474,43,0
10/9/2023,14:20:23.474,133,0
10/9/2023,14:20:23.474,105,0
10/9/2023,14:20:24.474,37,0
10/9/2023,14:20:24.474,187,0
10/9/2023,14:20:25.474,36,0
10/9/2023,14:20:25.474,1288,0
10/9/2023,14:20:25.474,44,0
10/9/2023,14:20:25.474,84,0
10/9/2023,14:20:25.474,42,0
10/9/2023,14:20:26.474,112,0
10/9/2023,14:20:26.474,87,0
10/9/2023,14:20:26.474,138,0
10/9/2023,14:20:26.474,198,0
10/9/2023,14:20:27.912,61,0
10/9/2023,14:20:27.912,39,0
10/9/2023,14:20:27.912,283,0
10/9/2023,14:20:27.912,175,0
10/9/2023,14:20:27.912,85,0
10/9/2023,14:20:28.892,63,0
10/9/2023,14:20:28.892,47,0
10/9/2023,14:20:30.383,156,0
10/9/2023,14:20:30.383,62,0
10/9/2023,14:20:30.383,94,0
10/9/2023,14:20:30.383,61,0
10/9/2023,14:20:30.383,125,0
10/9/2023,14:20:30.383,71,0
10/9/2023,14:20:30.383,162,0
10/9/2023,14:20:30.383,152,0
10/9/2023,14:20:32.653,34,0
10/9/2023,14:20:32.653,232,0
10/9/2023,14:20:33.562,31,0
10/9/2023,14:20:33.562,137,0
10/9/2023,14:20:33.562,82,0
10/9/2023,14:20:36.746,118,0
10/9/2023,14:20:36.746,84,0
10/9/2023,14:20:36.746,50,0
10/9/2023,14:20:36.746,65,0
10/9/2023,14:20:36.746,124,0
10/9/2023,14:20:38.149,67,0
10/9/2023,14:20:38.483,82,0
10/9/2023,14:20:38.483,345,0
10/9/2023,14:20:39.673,49,0
10/9/2023,14:20:39.673,103,0
10/9/2023,14:20:39.673,1387,0
10/9/2023,14:20:40.590,64,0
10/9/2023,14:20:40.590,55,0
10/9/2023,14:20:40.590,89,0
10/9/2023,14:20:41.567,442,0
10/9/2023,14:20:41.567,54,0
10/9/2023,14:20:41.567,63,0
10/9/2023,14:20:41.567,87,0
10/9/2023,14:20:43.527,152,0
10/9/2023,14:20:43.527,52,0
10/9/2023,14:20:43.527,38,0
10/9/2023,14:20:43.527,626,0
10/9/2023,14:20:43.527,166,0
10/9/2023,14:20:44.723,78,0
10/9/2023,14:20:44.723,56,0
10/9/2023,14:20:44.723,57,0
10/9/2023,14:20:44.723,155,0
10/9/2023,14:20:44.723,96,0
10/9/2023,14:20:44.723,61,0
10/9/2023,14:20:45.486,41,0
10/9/2023,14:20:45.486,60,0
10/9/2023,14:20:45.486,39,0
10/9/2023,14:20:46.488,353,0
10/9/2023,14:20:46.488,35,0
10/9/2023,14:20:46.488,196,0
10/9/2023,14:20:46.488,40,0
10/9/2023,14:20:46.488,113,0
10/9/2023,14:20:47.536,66,0
10/9/2023,14:20:49.731,56,0
10/9/2023,14:20:49.731,36,0
10/9/2023,14:20:49.731,86,0
10/9/2023,14:20:50.509,55,0
10/9/2023,14:20:50.509,62,0
10/9/2023,14:20:50.509,44,0
10/9/2023,14:20:51.662,62,0
10/9/2023,14:20:51.662,169,0
10/9/2023,14:20:51.662,259,0
10/9/2023,14:20:51.662,32,0
10/9/2023,14:20:51.662,110,0
10/9/2023,14:20:51.662,367,0
10/9/2023,14:20:51.662,269,0
10/9/2023,14:20:52.562,37,0
10/9/2023,14:20:52.562,765,0
10/9/2023,14:20:53.580,72,0
10/9/2023,14:20:53.580,94,0
10/9/2023,14:20:53.580,45,0
10/9/2023,14:20:53.580,37,0
10/9/2023,14:20:54.590,43,0
10/9/2023,14:20:54.590,339,0
10/9/2023,14:20:54.590,32,0
10/9/2023,14:20:54.590,94,0
10/9/2023,14:20:55.509,138,0
10/9/2023,14:20:55.509,44,0
10/9/2023,14:20:55.509,53,0
10/9/2023,14:20:55.509,38,0
10/9/2023,14:20:55.509,160,0
10/9/2023,14:20:55.509,596,0
10/9/2023,14:20:56.490,53,0
10/9/2023,14:20:56.490,35,0
10/9/2023,14:20:56.490,43,0
10/9/2023,14:20:56.490,108,0
10/9/2023,14:20:56.490,50,0
10/9/2023,14:20:56.490,64,0
10/9/2023,14:20:57.783,57,0
10/9/2023,14:20:57.783,591,0
10/9/2023,14:20:57.783,344,0
10/9/2023,14:20:57.783,77,0
10/9/2023,14:20:57.783,71,0
10/9/2023,14:20:58.749,675,0
10/9/2023,14:20:58.749,144,0
10/9/2023,14:20:58.749,36,0
10/9/2023,14:20:59.726,213,0
10/9/2023,14:20:59.726,47,0
10/9/2023,14:20:59.726,37,0
10/9/2023,14:20:59.726,74,0
10/9/2023,14:20:59.726,151,0
10/9/2023,14:21:00.823,511,0
10/9/2023,14:21:00.823,86,0
10/9/2023,14:21:00.823,59,0
10/9/2023,14:21:00.823,219,0
10/9/2023,14:21:01.608,816,0
10/9/2023,14:21:02.642,165,0
10/9/2023,14:21:02.642,58,0
10/9/2023,14:21:02.642,84,0
10/9/2023,14:21:02.642,39,0
10/9/2023,14:21:02.642,74,0
10/9/2023,14:21:03.586,69,0
10/9/2023,14:21:03.586,87,0
10/9/2023,14:21:04.622,63,0
10/9/2023,14:21:04.622,159,0
10/9/2023,14:21:04.622,89,0
10/9/2023,14:21:05.759,257,0
10/9/2023,14:21:05.759,274,0
10/9/2023,14:21:05.759,58,0
10/9/2023,14:21:05.759,132,0
10/9/2023,14:21:06.502,90,0
10/9/2023,14:21:06.502,86,0
10/9/2023,14:21:08.370,97,0
10/9/2023,14:21:09.786,93,0
10/9/2023,14:21:09.786,38,0
10/9/2023,14:21:09.786,44,0
10/9/2023,14:21:09.786,46,0
10/9/2023,14:21:09.786,32,0
10/9/2023,14:21:10.702,115,0
10/9/2023,14:21:10.702,104,0
10/9/2023,14:21:10.702,98,0
10/9/2023,14:21:10.702,128,0
10/9/2023,14:21:10.702,85,0
10/9/2023,14:21:10.702,174,0
10/9/2023,14:21:11.552,57,0
10/9/2023,14:21:12.961,36,0
10/9/2023,14:21:13.852,50,0
10/9/2023,14:21:13.852,195,0
10/9/2023,14:21:15.537,33,0
10/9/2023,14:21:18.719,55,0
10/9/2023,14:21:20.552,56,0
10/9/2023,14:21:20.552,63,0
10/9/2023,14:21:20.552,34,0
10/9/2023,14:21:21.628,108,0
10/9/2023,14:21:21.628,63,0
10/9/2023,14:21:22.742,88,0
10/9/2023,14:21:22.742,65,0
10/9/2023,14:21:22.742,441,0
10/9/2023,14:21:22.742,116,0
10/9/2023,14:21:23.686,104,0
10/9/2023,14:21:23.686,81,0
10/9/2023,14:21:24.807,140,0
10/9/2023,14:21:24.807,129,0
10/9/2023,14:21:26.799,133,0
10/9/2023,14:21:26.799,42,0
10/9/2023,14:21:26.799,78,0
10/9/2023,14:21:26.799,105,0
10/9/2023,14:21:26.799,80,0
10/9/2023,14:21:28.168,178,0
10/9/2023,14:21:28.168,93,0
10/9/2023,14:21:28.168,583,0
10/9/2023,14:21:28.168,88,0
10/9/2023,14:21:28.168,42,0
10/9/2023,14:21:29.649,50,0
10/9/2023,14:21:29.649,56,0
10/9/2023,14:21:30.519,395,0
10/9/2023,14:21:31.532,65,0
10/9/2023,14:21:32.622,137,0
10/9/2023,14:21:32.622,34,0
10/9/2023,14:21:32.622,90,0
10/9/2023,14:21:32.622,146,0
10/9/2023,14:21:33.946,54,0
10/9/2023,14:21:33.946,373,0
10/9/2023,14:21:33.946,33,0
10/9/2023,14:21:33.946,216,0
10/9/2023,14:21:33.946,271,0
10/9/2023,14:21:34.775,58,0
10/9/2023,14:21:34.775,34,0
10/9/2023,14:21:34.775,40,0
10/9/2023,14:21:35.485,76,0
10/9/2023,14:21:35.485,117,0
10/9/2023,14:21:37.631,54,0
10/9/2023,14:21:38.783,123,0
10/9/2023,14:21:39.931,83,0
10/9/2023,14:21:39.931,646,0
10/9/2023,14:21:40.784,33,0
10/9/2023,14:21:41.575,64,0
10/9/2023,14:21:42.654,66,0
10/9/2023,14:21:42.654,168,0
10/9/2023,14:21:42.654,63,0
10/9/2023,14:21:42.654,85,0
10/9/2023,14:21:42.654,466,0
10/9/2023,14:21:43.846,124,0
10/9/2023,14:21:43.846,39,0
10/9/2023,14:21:43.846,61,0
10/9/2023,14:21:45.163,202,0
10/9/2023,14:21:45.163,57,0
10/9/2023,14:21:45.163,164,0
10/9/2023,14:21:45.163,37,0
10/9/2023,14:21:45.619,79,0
10/9/2023,14:21:46.675,421,0
10/9/2023,14:21:46.675,145,0
10/9/2023,14:21:46.675,106,0
10/9/2023,14:21:47.553,728,0
10/9/2023,14:21:47.553,40,0
10/9/2023,14:21:47.553,703,0
10/9/2023,14:21:47.553,108,0
10/9/2023,14:21:48.545,73,0
10/9/2023,14:21:50.188,93,0
10/9/2023,14:21:50.188,56,0
10/9/2023,14:21:50.188,67,0
10/9/2023,14:21:50.579,230,0
10/9/2023,14:21:50.579,144,0
10/9/2023,14:21:51.651,548,0
10/9/2023,14:21:51.651,33,0
10/9/2023,14:21:51.651,107,0
10/9/2023,14:21:51.651,104,0
10/9/2023,14:21:51.651,47,0
10/9/2023,14:21:51.651,51,0
10/9/2023,14:21:52.621,116,0
10/9/2023,14:21:52.621,63,0
10/9/2023,14:21:52.621,1226,0
10/9/2023,14:21:52.621,43,0
