Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,14:20:13.473,0,0,0,2,0,0
10/9/2023,14:20:14.472,3,553,0,1,3,0
10/9/2023,14:20:15.473,2,128,0,1,2,0
10/9/2023,14:20:16.472,2,181,0,1,2,0
10/9/2023,14:20:17.472,3,1155,0,1,3,0
10/9/2023,14:20:18.472,6,1032,0,1,6,0
10/9/2023,14:20:19.472,1,122,0,1,1,0
10/9/2023,14:20:20.472,8,2339,0,1,8,0
10/9/2023,14:20:21.472,2,166,0,1,2,0
10/9/2023,14:20:22.473,3,409,0,1,3,0
10/9/2023,14:20:23.474,4,347,0,1,4,0
10/9/2023,14:20:24.474,2,224,0,1,2,0
10/9/2023,14:20:25.474,5,1494,0,1,5,0
10/9/2023,14:20:26.474,4,535,0,1,4,0
10/9/2023,14:20:27.912,5,643,0,1,3,0
10/9/2023,14:20:28.892,2,110,0,1,2,0
10/9/2023,14:20:30.383,8,883,0,1,5,0
10/9/2023,14:20:30.711,0,0,0,0,0,0
10/9/2023,14:20:31.839,0,0,0,1,0,0
10/9/2023,14:20:32.653,2,266,0,1,2,0
10/9/2023,14:20:33.562,3,250,0,1,3,0
10/9/2023,14:20:34.835,0,0,0,1,0,0
10/9/2023,14:20:35.573,0,0,0,1,0,0
10/9/2023,14:20:36.746,5,441,0,1,4,0
10/9/2023,14:20:38.149,1,67,0,1,1,0
10/9/2023,14:20:38.483,2,427,0,0,6,0
10/9/2023,14:20:39.673,3,1539,0,1,3,0
10/9/2023,14:20:40.590,3,208,0,1,3,0
10/9/2023,14:20:41.567,4,646,0,1,4,0
10/9/2023,14:20:42.556,0,0,0,1,0,0
10/9/2023,14:20:43.527,5,1034,0,1,5,0
10/9/2023,14:20:44.723,6,503,0,1,5,0
10/9/2023,14:20:45.486,3,140,0,1,4,0
10/9/2023,14:20:46.488,5,737,0,1,5,0
10/9/2023,14:20:47.536,1,66,0,1,1,0
10/9/2023,14:20:48.886,0,0,0,1,0,0
10/9/2023,14:20:49.731,3,178,0,1,4,0
10/9/2023,14:20:50.509,3,161,0,1,4,0
10/9/2023,14:20:51.662,7,1268,0,1,6,0
10/9/2023,14:20:52.562,2,802,0,1,2,0
10/9/2023,14:20:53.580,4,248,0,1,4,0
10/9/2023,14:20:54.590,4,508,0,1,4,0
10/9/2023,14:20:55.509,6,1029,0,1,7,0
10/9/2023,14:20:56.490,6,353,0,1,6,0
10/9/2023,14:20:57.783,5,1140,0,1,4,0
10/9/2023,14:20:58.749,3,855,0,1,3,0
10/9/2023,14:20:59.726,5,522,0,1,5,0
10/9/2023,14:21:00.823,4,875,0,1,4,0
10/9/2023,14:21:01.608,1,816,0,1,1,0
10/9/2023,14:21:02.642,5,420,0,1,5,0
10/9/2023,14:21:03.586,2,156,0,1,2,0
10/9/2023,14:21:04.622,3,311,0,1,3,0
10/9/2023,14:21:05.759,4,721,0,1,4,0
10/9/2023,14:21:06.502,2,176,0,1,3,0
10/9/2023,14:21:08.370,1,97,0,2,1,0
10/9/2023,14:21:08.601,0,0,0,0,0,0
10/9/2023,14:21:09.786,5,253,0,1,4,0
10/9/2023,14:21:10.702,6,704,0,1,7,0
10/9/2023,14:21:11.552,1,57,0,1,1,0
10/9/2023,14:21:12.961,1,36,0,1,1,0
10/9/2023,14:21:13.852,2,245,0,1,2,0
10/9/2023,14:21:14.615,0,0,0,1,0,0
10/9/2023,14:21:15.537,1,33,0,1,1,0
10/9/2023,14:21:16.639,0,0,0,1,0,0
10/9/2023,14:21:17.616,0,0,0,1,0,0
10/9/2023,14:21:18.719,1,55,0,1,1,0
10/9/2023,14:21:19.970,0,0,0,1,0,0
10/9/2023,14:21:20.552,3,153,0,1,5,0
10/9/2023,14:21:21.628,2,171,0,1,2,0
10/9/2023,14:21:22.742,4,710,0,1,4,0
10/9/2023,14:21:23.686,2,185,0,1,2,0
10/9/2023,14:21:24.807,2,269,0,1,2,0
10/9/2023,14:21:25.527,0,0,0,1,0,0
10/9/2023,14:21:26.799,5,438,0,1,4,0
10/9/2023,14:21:28.168,5,984,0,1,4,0
10/9/2023,14:21:28.622,0,0,0,0,0,0
10/9/2023,14:21:29.649,2,106,0,1,2,0
10/9/2023,14:21:30.519,1,395,0,1,1,0
10/9/2023,14:21:31.532,1,65,0,1,1,0
10/9/2023,14:21:32.622,4,407,0,1,4,0
10/9/2023,14:21:33.946,5,947,0,1,4,0
10/9/2023,14:21:34.775,3,132,0,1,4,0
10/9/2023,14:21:35.485,2,193,0,1,3,0
10/9/2023,14:21:37.170,0,0,0,2,0,0
10/9/2023,14:21:37.631,1,54,0,0,2,0
10/9/2023,14:21:38.783,1,123,0,1,1,0
10/9/2023,14:21:39.931,2,729,0,1,2,0
10/9/2023,14:21:40.784,1,33,0,1,1,0
10/9/2023,14:21:41.575,1,64,0,1,1,0
10/9/2023,14:21:42.654,5,848,0,1,5,0
10/9/2023,14:21:43.846,3,224,0,1,3,0
10/9/2023,14:21:45.163,4,460,0,1,3,0
10/9/2023,14:21:45.619,1,79,0,0,2,0
10/9/2023,14:21:46.675,3,672,0,1,3,0
10/9/2023,14:21:47.553,4,1579,0,1,5,0
10/9/2023,14:21:48.545,1,73,0,1,1,0
10/9/2023,14:21:50.188,3,216,0,2,2,0
10/9/2023,14:21:50.579,2,374,0,0,5,0
10/9/2023,14:21:51.651,6,890,0,1,6,0
10/9/2023,14:21:52.621,5,1479,0,1,5,0
10/9/2023,14:21:53.539,6,532,0,1,7,0
10/9/2023,14:21:54.562,5,329,0,1,5,0
10/9/2023,14:21:55.736,3,120,0,1,3,0
10/9/2023,14:21:56.715,5,443,0,1,5,0
10/9/2023,14:21:57.546,2,279,0,1,2,0
10/9/2023,14:21:58.530,1,42,0,1,1,0
10/9/2023,14:21:59.755,7,679,0,1,6,0
10/9/2023,14:22:00.624,3,727,0,1,3,0
10/9/2023,14:22:02.156,4,435,0,2,3,0
10/9/2023,14:22:02.692,1,121,0,1,2,0
10/9/2023,14:22:03.898,5,386,0,1,4,0
10/9/2023,14:22:04.792,0,0,0,1,0,0
