Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/8/2023,17:18:50.011,0,0,0,2,0,0
10/8/2023,17:18:51.009,947,182710,0,1,948,0
10/8/2023,17:18:52.013,732,143296,0,1,730,0
10/8/2023,17:18:53.014,732,145757,0,1,731,0
10/8/2023,17:18:54.033,751,137959,0,1,737,0
10/8/2023,17:18:55.035,724,139937,0,1,723,0
10/8/2023,17:18:56.012,756,145405,0,1,774,0
10/8/2023,17:18:57.054,723,140154,0,1,695,0
10/8/2023,17:18:58.023,759,146786,0,1,782,0
10/8/2023,17:18:59.023,753,145387,0,1,754,0
10/8/2023,17:19:00.023,726,137781,0,1,725,0
10/8/2023,17:19:01.018,762,143276,0,1,766,0
10/8/2023,17:19:02.014,718,137258,0,1,722,0
10/8/2023,17:19:03.025,726,131514,0,1,718,0
10/8/2023,17:19:04.014,725,138688,0,1,733,0
10/8/2023,17:19:05.031,791,150271,0,1,778,0
10/8/2023,17:19:06.025,711,135491,0,1,715,0
10/8/2023,17:19:07.013,741,139243,0,1,750,0
10/8/2023,17:19:08.028,778,145305,0,1,767,0
10/8/2023,17:19:09.028,741,140060,0,1,741,0
10/8/2023,17:19:10.016,747,142632,0,1,757,0
10/8/2023,17:19:11.026,752,144261,0,1,744,0
10/8/2023,17:19:12.035,748,144405,0,1,741,0
10/8/2023,17:19:13.020,771,146303,0,1,783,0
10/8/2023,17:19:14.020,732,141237,0,1,733,0
10/8/2023,17:19:15.048,732,140910,0,1,711,0
10/8/2023,17:19:16.022,738,142512,0,1,758,0
10/8/2023,17:19:17.023,776,145436,0,1,775,0
10/8/2023,17:19:18.032,709,139855,0,1,703,0
10/8/2023,17:19:19.026,757,144136,0,1,761,0
10/8/2023,17:19:20.017,761,146766,0,1,769,0
10/8/2023,17:19:21.050,758,142476,0,1,733,0
10/8/2023,17:19:22.047,700,134841,0,1,702,0
10/8/2023,17:19:23.034,777,146799,0,1,788,0
10/8/2023,17:19:24.033,761,145603,0,1,761,0
10/8/2023,17:19:25.022,752,140698,0,1,761,0
