Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,17:01:57.388,0,0,0,2,0,0
10/9/2023,17:01:58.382,575,37329,0,1,578,0
10/9/2023,17:01:59.382,567,34705,0,1,567,0
10/9/2023,17:02:00.391,561,35975,0,1,556,0
10/9/2023,17:02:01.392,569,36096,0,1,568,0
10/9/2023,17:02:02.394,576,35609,0,1,575,0
10/9/2023,17:02:03.394,595,36990,0,1,594,0
10/9/2023,17:02:04.395,570,33960,0,1,570,0
10/9/2023,17:02:05.407,568,34820,0,1,561,0
10/9/2023,17:02:06.408,540,33352,0,1,540,0
10/9/2023,17:02:07.407,591,37210,0,1,592,0
10/9/2023,17:02:08.406,588,38469,0,1,588,0
10/9/2023,17:02:09.407,545,36870,0,1,545,0
10/9/2023,17:02:10.407,589,38249,0,1,589,0
10/9/2023,17:02:11.408,555,35272,0,1,554,0
10/9/2023,17:02:12.406,516,32034,0,1,517,0
10/9/2023,17:02:13.407,637,39693,0,1,637,0
10/9/2023,17:02:14.406,612,41429,0,1,612,0
10/9/2023,17:02:15.407,559,33930,0,1,558,0
10/9/2023,17:02:16.407,567,35838,0,1,567,0
10/9/2023,17:02:17.408,574,36137,0,1,574,0
10/9/2023,17:02:18.408,590,37579,0,1,589,0
10/9/2023,17:02:19.408,554,34924,0,1,554,0
10/9/2023,17:02:20.421,590,36784,0,1,583,0
10/9/2023,17:02:21.420,558,36052,0,1,558,0
10/9/2023,17:02:22.426,568,35093,0,1,565,0
10/9/2023,17:02:23.413,529,32678,0,1,537,0
10/9/2023,17:02:24.413,611,38316,0,1,610,0
10/9/2023,17:02:25.435,555,34811,0,1,544,0
10/9/2023,17:02:26.415,549,33824,0,1,560,0
10/9/2023,17:02:27.423,557,34372,0,1,552,0
10/9/2023,17:02:28.415,548,33825,0,1,552,0
10/9/2023,17:02:29.419,561,35445,0,1,559,0
10/9/2023,17:02:30.416,515,31687,0,1,517,0
10/9/2023,17:02:31.419,593,37616,0,1,591,0
10/9/2023,17:02:32.422,547,33341,0,1,545,0
10/9/2023,17:02:33.433,572,35743,0,1,566,0
10/9/2023,17:02:34.433,558,35521,0,1,558,0
10/9/2023,17:02:35.422,564,34411,0,1,571,0
10/9/2023,17:02:36.422,588,35657,0,1,588,0
10/9/2023,17:02:37.434,525,33612,0,1,518,0
10/9/2023,17:02:38.428,590,37991,0,1,594,0
10/9/2023,17:02:39.430,548,34678,0,1,547,0
10/9/2023,17:02:40.432,575,36930,0,1,573,0
10/9/2023,17:02:41.422,530,33014,0,1,535,0
10/9/2023,17:02:42.426,583,35132,0,1,581,0
10/9/2023,17:02:43.438,575,34903,0,1,568,0
10/9/2023,17:02:44.423,576,36376,0,1,585,0
10/9/2023,17:02:45.439,571,34324,0,1,563,0
10/9/2023,17:02:46.431,568,35499,0,1,572,0
10/9/2023,17:02:47.431,542,33554,0,1,543,0
10/9/2023,17:02:48.426,501,30667,0,1,504,0
10/9/2023,17:02:49.426,607,38046,0,1,606,0
10/9/2023,17:02:50.425,551,34601,0,1,552,0
10/9/2023,17:02:51.427,554,34964,0,1,553,0
10/9/2023,17:02:52.442,558,34931,0,1,550,0
10/9/2023,17:02:53.429,594,36972,0,1,601,0
10/9/2023,17:02:54.428,583,35525,0,1,584,0
10/9/2023,17:02:55.428,585,35629,0,1,584,0
10/9/2023,17:02:56.435,548,34558,0,1,544,0
10/9/2023,17:02:57.422,548,34462,0,1,555,0
10/9/2023,17:02:58.434,559,34916,0,1,552,0
10/9/2023,17:02:59.426,533,33136,0,1,537,0
10/9/2023,17:03:00.428,581,35929,0,1,580,0
10/9/2023,17:03:01.432,551,34128,0,1,549,0
10/9/2023,17:03:02.425,520,32432,0,1,524,0
10/9/2023,17:03:03.433,563,34732,0,1,559,0
10/9/2023,17:03:04.426,548,34553,0,1,551,0
10/9/2023,17:03:05.430,580,36759,0,1,578,0
10/9/2023,17:03:06.428,556,36045,0,1,557,0
10/9/2023,17:03:07.435,559,36190,0,1,555,0
10/9/2023,17:03:08.428,617,39053,0,1,621,0
10/9/2023,17:03:09.429,551,33662,0,1,550,0
10/9/2023,17:03:10.445,575,34977,0,1,566,0
10/9/2023,17:03:11.429,544,35092,0,1,553,0
10/9/2023,17:03:12.432,542,33749,0,1,540,0
10/9/2023,17:03:13.428,522,32619,0,1,525,0
10/9/2023,17:03:14.433,546,33998,0,1,543,0
10/9/2023,17:03:15.437,584,36661,0,1,582,0
10/9/2023,17:03:16.426,622,39269,0,1,628,0
10/9/2023,17:03:17.440,564,34928,0,1,557,0
10/9/2023,17:03:18.432,577,35871,0,1,581,0
10/9/2023,17:03:19.433,546,33517,0,1,546,0
10/9/2023,17:03:20.438,557,36041,0,1,555,0
10/9/2023,17:03:21.455,571,36004,0,1,560,0
10/9/2023,17:03:22.432,549,34467,0,1,562,0
10/9/2023,17:03:23.439,525,32078,0,1,521,0
10/9/2023,17:03:24.433,574,38202,0,1,577,0
10/9/2023,17:03:25.439,541,34531,0,1,538,0
10/9/2023,17:03:26.461,566,34581,0,1,554,0
10/9/2023,17:03:27.446,589,36239,0,1,598,0
10/9/2023,17:03:28.459,549,33930,0,1,542,0
10/9/2023,17:03:29.446,592,37063,0,1,600,0
10/9/2023,17:03:30.462,571,36652,0,1,561,0
10/9/2023,17:03:31.445,536,33994,0,1,545,0
10/9/2023,17:03:32.449,619,38177,0,1,617,0
10/9/2023,17:03:33.449,580,35281,0,1,579,0
