Day,Time,Channel#,Photon Energy (keV)
10/8/2023,17:48:36.238,53,0
10/8/2023,17:48:36.238,96,0
10/8/2023,17:48:36.238,31,0
10/8/2023,17:48:36.238,113,0
10/8/2023,17:48:36.238,218,0
10/8/2023,17:48:37.240,33,0
10/8/2023,17:48:37.240,1211,0
10/8/2023,17:48:37.240,44,0
10/8/2023,17:48:37.240,200,0
10/8/2023,17:48:38.237,68,0
10/8/2023,17:48:38.237,54,0
10/8/2023,17:48:38.237,550,0
10/8/2023,17:48:38.237,47,0
10/8/2023,17:48:38.237,113,0
10/8/2023,17:48:38.237,747,0
10/8/2023,17:48:38.237,57,0
10/8/2023,17:48:39.238,92,0
10/8/2023,17:48:39.238,120,0
10/8/2023,17:48:39.238,129,0
10/8/2023,17:48:39.238,31,0
10/8/2023,17:48:39.238,84,0
10/8/2023,17:48:39.238,49,0
10/8/2023,17:48:40.248,80,0
10/8/2023,17:48:40.248,57,0
10/8/2023,17:48:41.244,41,0
10/8/2023,17:48:41.244,34,0
10/8/2023,17:48:41.244,102,0
10/8/2023,17:48:41.244,281,0
10/8/2023,17:48:41.244,97,0
10/8/2023,17:48:41.244,169,0
10/8/2023,17:48:41.244,46,0
10/8/2023,17:48:42.244,50,0
10/8/2023,17:48:43.254,85,0
10/8/2023,17:48:43.254,36,0
10/8/2023,17:48:43.254,67,0
10/8/2023,17:48:43.254,45,0
10/8/2023,17:48:43.254,135,0
10/8/2023,17:48:43.254,236,0
10/8/2023,17:48:43.254,125,0
10/8/2023,17:48:43.254,74,0
10/8/2023,17:48:44.261,32,0
10/8/2023,17:48:44.261,70,0
10/8/2023,17:48:44.261,145,0
10/8/2023,17:48:44.261,191,0
10/8/2023,17:48:44.261,57,0
10/8/2023,17:48:44.261,63,0
10/8/2023,17:48:44.261,45,0
10/8/2023,17:48:44.261,212,0
10/8/2023,17:48:44.261,69,0
10/8/2023,17:48:45.261,95,0
10/8/2023,17:48:45.261,52,0
10/8/2023,17:48:45.261,41,0
10/8/2023,17:48:45.261,98,0
10/8/2023,17:48:45.261,71,0
10/8/2023,17:48:46.261,37,0
10/8/2023,17:48:46.261,112,0
10/8/2023,17:48:46.261,341,0
10/8/2023,17:48:46.261,44,0
10/8/2023,17:48:47.263,185,0
10/8/2023,17:48:47.263,509,0
10/8/2023,17:48:48.263,155,0
10/8/2023,17:48:48.263,48,0
10/8/2023,17:48:48.263,44,0
10/8/2023,17:48:48.263,41,0
10/8/2023,17:48:48.263,314,0
10/8/2023,17:48:48.263,57,0
10/8/2023,17:48:48.263,69,0
10/8/2023,17:48:49.264,43,0
10/8/2023,17:48:49.264,32,0
10/8/2023,17:48:49.264,153,0
10/8/2023,17:48:50.264,83,0
10/8/2023,17:48:50.264,36,0
10/8/2023,17:48:50.264,90,0
10/8/2023,17:48:50.264,41,0
10/8/2023,17:48:50.264,32,0
10/8/2023,17:48:51.265,49,0
10/8/2023,17:48:51.265,329,0
10/8/2023,17:48:51.265,31,0
10/8/2023,17:48:51.265,63,0
10/8/2023,17:48:51.265,71,0
10/8/2023,17:48:51.265,31,0
10/8/2023,17:48:52.274,39,0
10/8/2023,17:48:52.274,240,0
10/8/2023,17:48:52.274,76,0
10/8/2023,17:48:52.274,198,0
10/8/2023,17:48:52.274,74,0
10/8/2023,17:48:52.274,44,0
10/8/2023,17:48:52.274,112,0
10/8/2023,17:48:53.265,44,0
10/8/2023,17:48:53.265,134,0
10/8/2023,17:48:53.265,32,0
10/8/2023,17:48:53.265,76,0
10/8/2023,17:48:53.265,52,0
10/8/2023,17:48:53.265,386,0
10/8/2023,17:48:53.265,76,0
10/8/2023,17:48:53.265,61,0
10/8/2023,17:48:53.265,65,0
10/8/2023,17:48:54.265,79,0
10/8/2023,17:48:54.265,44,0
10/8/2023,17:48:54.265,251,0
10/8/2023,17:48:54.265,52,0
10/8/2023,17:48:54.265,75,0
