Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,16:49:23.456,0,0,0,2,0,0
10/9/2023,16:49:24.509,1103,130762,0,1,1046,0
10/9/2023,16:49:25.488,1039,124769,0,1,1062,0
10/9/2023,16:49:26.487,1018,120392,0,1,1018,0
10/9/2023,16:49:27.488,1065,126074,0,1,1064,0
10/9/2023,16:49:28.488,1055,126118,0,1,1055,0
10/9/2023,16:49:29.490,1039,124076,0,1,1037,0
10/9/2023,16:49:30.506,1093,131224,0,1,1076,0
10/9/2023,16:49:31.491,1032,122866,0,1,1048,0
10/9/2023,16:49:32.491,1083,129122,0,1,1083,0
10/9/2023,16:49:33.491,1027,124335,0,1,1027,0
10/9/2023,16:49:34.492,992,118392,0,1,992,0
10/9/2023,16:49:35.492,1093,132293,0,1,1093,0
10/9/2023,16:49:36.491,1041,125815,0,1,1041,0
10/9/2023,16:49:37.491,1020,120930,0,1,1020,0
10/9/2023,16:49:38.491,1060,127961,0,1,1060,0
10/9/2023,16:49:39.491,1063,128060,0,1,1063,0
10/9/2023,16:49:40.492,1041,123539,0,1,1041,0
10/9/2023,16:49:41.491,1005,122315,0,1,1005,0
10/9/2023,16:49:42.491,1131,138163,0,1,1131,0
10/9/2023,16:49:43.492,983,118496,0,1,983,0
10/9/2023,16:49:44.491,1109,133629,0,1,1109,0
10/9/2023,16:49:45.491,1058,127077,0,1,1058,0
10/9/2023,16:49:46.498,1004,121407,0,1,997,0
10/9/2023,16:49:47.491,1072,127991,0,1,1080,0
10/9/2023,16:49:48.491,1046,128468,0,1,1046,0
10/9/2023,16:49:49.491,1047,123597,0,1,1047,0
10/9/2023,16:49:50.491,1016,119094,0,1,1016,0
10/9/2023,16:49:51.492,1056,124344,0,1,1056,0
10/9/2023,16:49:52.500,1107,132202,0,1,1098,0
10/9/2023,16:49:53.494,997,120353,0,1,1002,0
10/9/2023,16:49:54.498,1068,128293,0,1,1064,0
10/9/2023,16:49:55.518,1048,123553,0,1,1028,0
10/9/2023,16:49:56.515,1106,132866,0,1,1108,0
10/9/2023,16:49:57.494,980,115240,0,1,1001,0
10/9/2023,16:49:58.502,1050,125934,0,1,1042,0
10/9/2023,16:49:59.513,1062,125202,0,1,1050,0
10/9/2023,16:50:00.511,1028,123640,0,1,1030,0
10/9/2023,16:50:01.506,1008,120113,0,1,1013,0
10/9/2023,16:50:02.526,1086,128725,0,1,1065,0
10/9/2023,16:50:03.505,1098,129827,0,1,1122,0
10/9/2023,16:50:04.506,1032,123454,0,1,1031,0
10/9/2023,16:50:05.507,1046,125050,0,1,1045,0
10/9/2023,16:50:06.496,1064,124886,0,1,1076,0
10/9/2023,16:50:07.508,1059,127507,0,1,1047,0
10/9/2023,16:50:08.496,1024,120564,0,1,1035,0
10/9/2023,16:50:09.499,1085,129975,0,1,1082,0
10/9/2023,16:50:10.513,1042,121440,0,1,1028,0
10/9/2023,16:50:11.508,1094,129773,0,1,1099,0
10/9/2023,16:50:12.498,1142,135365,0,1,1154,0
10/9/2023,16:50:13.517,1002,122371,0,1,983,0
10/9/2023,16:50:14.521,980,116030,0,1,976,0
10/9/2023,16:50:15.553,1129,134192,0,1,1094,0
10/9/2023,16:50:16.496,1065,124003,0,1,1131,0
