Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,15:24:21.758,0,0,0,2,0,0
10/9/2023,15:24:22.758,1081,123130,0,1,1081,0
10/9/2023,15:24:23.772,1019,116341,0,1,1006,0
10/9/2023,15:24:24.771,1116,124942,0,1,1116,0
10/9/2023,15:24:25.772,1102,126289,0,1,1101,0
10/9/2023,15:24:26.772,1076,125964,0,1,1076,0
10/9/2023,15:24:27.772,1059,123716,0,1,1059,0
10/9/2023,15:24:28.772,1038,120287,0,1,1038,0
10/9/2023,15:24:29.772,1110,126198,0,1,1110,0
10/9/2023,15:24:30.772,1110,129157,0,1,1110,0
10/9/2023,15:24:31.772,967,111011,0,1,967,0
10/9/2023,15:24:32.772,1097,125640,0,1,1097,0
10/9/2023,15:24:33.775,1071,122686,0,1,1068,0
10/9/2023,15:24:34.773,1126,130469,0,1,1128,0
10/9/2023,15:24:35.773,1048,118660,0,1,1048,0
10/9/2023,15:24:36.778,1042,118387,0,1,1037,0
10/9/2023,15:24:37.774,1066,120662,0,1,1070,0
10/9/2023,15:24:38.775,1048,119791,0,1,1048,0
10/9/2023,15:24:39.774,1100,130128,0,1,1100,0
10/9/2023,15:24:40.774,1041,118858,0,1,1041,0
10/9/2023,15:24:41.774,1102,126912,0,1,1102,0
10/9/2023,15:24:42.774,1078,126155,0,1,1078,0
10/9/2023,15:24:43.775,1056,121263,0,1,1056,0
10/9/2023,15:24:44.775,1094,126299,0,1,1094,0
10/9/2023,15:24:45.774,1020,118681,0,1,1020,0
10/9/2023,15:24:46.774,1080,126480,0,1,1080,0
10/9/2023,15:24:47.774,1020,120101,0,1,1020,0
10/9/2023,15:24:48.775,1074,124443,0,1,1074,0
10/9/2023,15:24:49.774,1098,127927,0,1,1098,0
10/9/2023,15:24:50.775,1123,127937,0,1,1123,0
10/9/2023,15:24:51.774,1023,120084,0,1,1023,0
10/9/2023,15:24:52.791,1093,127818,0,1,1075,0
10/9/2023,15:24:53.775,1004,116465,0,1,1020,0
10/9/2023,15:24:54.775,1118,126508,0,1,1118,0
10/9/2023,15:24:55.776,1056,124346,0,1,1056,0
10/9/2023,15:24:56.775,1083,126608,0,1,1083,0
10/9/2023,15:24:57.775,1103,128706,0,1,1103,0
10/9/2023,15:24:58.775,1058,122676,0,1,1058,0
10/9/2023,15:24:59.775,1075,121506,0,1,1075,0
10/9/2023,15:25:00.781,1039,117502,0,1,1033,0
10/9/2023,15:25:01.776,1023,114082,0,1,1029,0
10/9/2023,15:25:02.786,1162,134536,0,1,1149,0
10/9/2023,15:25:03.787,1020,116220,0,1,1019,0
10/9/2023,15:25:04.777,1138,132210,0,1,1149,0
10/9/2023,15:25:05.780,1025,116639,0,1,1022,0
10/9/2023,15:25:06.793,1082,123303,0,1,1069,0
10/9/2023,15:25:07.782,1038,118538,0,1,1048,0
10/9/2023,15:25:08.783,1069,119825,0,1,1068,0
10/9/2023,15:25:09.783,1082,122184,0,1,1083,0
10/9/2023,15:25:10.783,1016,118865,0,1,1016,0
10/9/2023,15:25:11.782,977,113140,0,1,977,0
10/9/2023,15:25:12.782,1106,128891,0,1,1106,0
10/9/2023,15:25:13.783,1065,124302,0,1,1065,0
10/9/2023,15:25:14.782,1031,118383,0,1,1031,0
10/9/2023,15:25:15.782,1094,125164,0,1,1094,0
10/9/2023,15:25:16.783,1101,126504,0,1,1101,0
10/9/2023,15:25:17.784,1012,114421,0,1,1010,0
10/9/2023,15:25:18.784,1059,118948,0,1,1060,0
10/9/2023,15:25:19.818,1069,125364,0,1,1033,0
10/9/2023,15:25:20.786,1042,120364,0,1,1076,0
10/9/2023,15:25:21.822,1047,122731,0,1,1012,0
10/9/2023,15:25:22.875,1064,125574,0,1,1010,0
10/9/2023,15:25:23.813,1036,119776,0,1,1103,0
10/9/2023,15:25:24.833,1105,129298,0,1,1083,0
10/9/2023,15:25:25.792,1062,123926,0,1,1107,0
10/9/2023,15:25:26.788,1080,127308,0,1,1085,0
10/9/2023,15:25:27.785,1079,124404,0,1,1082,0
10/9/2023,15:25:28.849,1027,117254,0,1,964,0
10/9/2023,15:25:29.842,1123,128972,0,1,1131,0
10/9/2023,15:25:30.790,957,110841,0,1,1009,0
10/9/2023,15:25:31.787,1225,143006,0,1,1229,0
10/9/2023,15:25:32.785,1021,116927,0,1,1024,0
10/9/2023,15:25:33.802,1069,125283,0,1,1050,0
10/9/2023,15:25:34.798,1084,126698,0,1,1088,0
10/9/2023,15:25:35.867,1037,119169,0,1,970,0
10/9/2023,15:25:36.801,1066,125063,0,1,1141,0
10/9/2023,15:25:37.805,1087,123548,0,1,1083,0
10/9/2023,15:25:38.867,1067,123626,0,1,1005,0
10/9/2023,15:25:39.835,1051,120934,0,1,1086,0
10/9/2023,15:25:40.862,1077,125791,0,1,1049,0
10/9/2023,15:25:41.789,1081,123928,0,1,1166,0
10/9/2023,15:25:42.818,1018,120015,0,1,989,0
10/9/2023,15:25:43.924,1100,126707,0,1,995,0
10/9/2023,15:25:44.816,1019,116261,0,1,1142,0
10/9/2023,15:25:45.812,1051,118917,0,1,1056,0
10/9/2023,15:25:46.809,1050,121373,0,1,1053,0
10/9/2023,15:25:47.802,1090,126836,0,1,1097,0
10/9/2023,15:25:48.800,1024,120300,0,1,1026,0
10/9/2023,15:25:49.799,1051,120875,0,1,1052,0
10/9/2023,15:25:50.801,1104,125115,0,1,1102,0
10/9/2023,15:25:51.809,1063,122365,0,1,1055,0
10/9/2023,15:25:52.840,1121,130647,0,1,1087,0
10/9/2023,15:25:53.798,1027,119939,0,1,1072,0
10/9/2023,15:25:54.804,1084,125158,0,1,1078,0
10/9/2023,15:25:55.818,1028,119229,0,1,1014,0
10/9/2023,15:25:56.793,1119,128913,0,1,1148,0
10/9/2023,15:25:57.789,1081,126855,0,1,1085,0
10/9/2023,15:25:58.818,1103,125792,0,1,1072,0
10/9/2023,15:25:59.797,1101,125594,0,1,1125,0
10/9/2023,15:26:00.817,1059,124688,0,1,1039,0
10/9/2023,15:26:01.807,1062,124458,0,1,1072,0
10/9/2023,15:26:02.809,1060,123316,0,1,1058,0
10/9/2023,15:26:03.884,1114,125579,0,1,1037,0
10/9/2023,15:26:04.798,1082,122346,0,1,1183,0
10/9/2023,15:26:05.805,1005,115381,0,1,998,0
10/9/2023,15:26:06.808,1138,134255,0,1,1135,0
10/9/2023,15:26:07.801,1054,123278,0,1,1061,0
10/9/2023,15:26:08.799,1024,118068,0,1,1027,0
10/9/2023,15:26:09.810,1131,129679,0,1,1119,0
10/9/2023,15:26:10.827,1049,119985,0,1,1030,0
10/9/2023,15:26:11.829,1086,123886,0,1,1084,0
10/9/2023,15:26:12.797,1050,123203,0,1,1085,0
10/9/2023,15:26:13.841,1114,128931,0,1,1067,0
10/9/2023,15:26:14.812,1062,125111,0,1,1094,0
10/9/2023,15:26:15.831,1072,124902,0,1,1052,0
10/9/2023,15:26:16.834,1094,126956,0,1,1092,0
10/9/2023,15:26:17.801,995,115872,0,1,1028,0
10/9/2023,15:26:18.805,1126,130384,0,1,1122,0
10/9/2023,15:26:19.808,1052,121962,0,1,1049,0
10/9/2023,15:26:20.808,1020,116642,0,1,1021,0
10/9/2023,15:26:21.822,1056,121613,0,1,1040,0
10/9/2023,15:26:22.808,1087,125223,0,1,1102,0
10/9/2023,15:26:23.849,1048,120002,0,1,1008,0
10/9/2023,15:26:24.875,1009,115553,0,1,982,0
10/9/2023,15:26:25.832,1056,122526,0,1,1103,0
10/9/2023,15:26:26.810,1116,128468,0,1,1142,0
10/9/2023,15:26:27.831,1086,124731,0,1,1063,0
10/9/2023,15:26:28.809,1071,124798,0,1,1095,0
10/9/2023,15:26:29.816,1049,122469,0,1,1043,0
10/9/2023,15:26:30.818,1034,120185,0,1,1031,0
10/9/2023,15:26:31.804,1050,120667,0,1,1065,0
10/9/2023,15:26:32.805,1082,126389,0,1,1082,0
10/9/2023,15:26:33.805,1031,118671,0,1,1031,0
10/9/2023,15:26:34.800,1067,121247,0,1,1071,0
10/9/2023,15:26:35.900,1044,120539,0,1,949,0
10/9/2023,15:26:36.858,1050,119593,0,1,1096,0
10/9/2023,15:26:37.799,1045,122200,0,1,1112,0
10/9/2023,15:26:38.815,1087,126160,0,1,1070,0
10/9/2023,15:26:39.800,1049,120744,0,1,1064,0
10/9/2023,15:26:40.809,1062,120012,0,1,1053,0
10/9/2023,15:26:41.874,1070,122771,0,1,1005,0
10/9/2023,15:26:42.833,1080,123579,0,1,1126,0
10/9/2023,15:26:43.801,994,115253,0,1,1027,0
10/9/2023,15:26:44.845,1108,128238,0,1,1061,0
10/9/2023,15:26:45.831,1071,121363,0,1,1086,0
10/9/2023,15:26:46.860,1093,126330,0,1,1062,0
10/9/2023,15:26:47.840,1072,123547,0,1,1094,0
10/9/2023,15:26:48.849,1077,124499,0,1,1067,0
10/9/2023,15:26:49.862,1050,119219,0,1,1037,0
10/9/2023,15:26:50.839,1103,125025,0,1,1130,0
10/9/2023,15:26:51.849,1028,120353,0,1,1017,0
10/9/2023,15:26:52.848,1085,121563,0,1,1086,0
10/9/2023,15:26:53.814,1075,123895,0,1,1113,0
10/9/2023,15:26:54.822,1016,118060,0,1,1008,0
10/9/2023,15:26:55.818,1049,119637,0,1,1053,0
10/9/2023,15:26:56.849,1117,127387,0,1,1084,0
10/9/2023,15:26:57.814,1011,113905,0,1,1047,0
10/9/2023,15:26:58.807,1106,127961,0,1,1114,0
10/9/2023,15:26:59.813,1062,120088,0,1,1056,0
10/9/2023,15:27:00.811,1096,126953,0,1,1099,0
10/9/2023,15:27:01.829,1029,117827,0,1,1010,0
10/9/2023,15:27:02.817,1098,125882,0,1,1111,0
10/9/2023,15:27:03.822,1101,126954,0,1,1097,0
10/9/2023,15:27:04.814,1038,120984,0,1,1045,0
10/9/2023,15:27:05.829,1104,126967,0,1,1088,0
10/9/2023,15:27:06.821,1055,122748,0,1,1064,0
10/9/2023,15:27:07.818,1079,126337,0,1,1082,0
10/9/2023,15:27:08.812,1026,116004,0,1,1032,0
10/9/2023,15:27:09.830,1037,118626,0,1,1019,0
10/9/2023,15:27:10.824,1100,127441,0,1,1107,0
10/9/2023,15:27:11.826,1094,123787,0,1,1093,0
10/9/2023,15:27:12.862,1088,125029,0,1,1049,0
10/9/2023,15:27:13.852,994,115186,0,1,1005,0
10/9/2023,15:27:14.837,1113,126599,0,1,1129,0
10/9/2023,15:27:15.843,1027,117267,0,1,1021,0
10/9/2023,15:27:16.826,1073,125913,0,1,1092,0
10/9/2023,15:27:17.895,1049,121932,0,1,982,0
10/9/2023,15:27:18.849,1032,119968,0,1,1081,0
10/9/2023,15:27:19.820,1101,128953,0,1,1134,0
10/9/2023,15:27:20.845,1083,124236,0,1,1057,0
