Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/8/2023,17:42:51.843,0,0,0,3,0,0
10/8/2023,17:42:52.849,1205,275289,0,1,1199,0
10/8/2023,17:42:53.856,1294,291950,0,1,1284,0
10/8/2023,17:42:54.889,1164,266608,0,1,1128,0
10/8/2023,17:42:55.879,1228,281658,0,1,1239,0
10/8/2023,17:42:56.934,1387,311520,0,1,1316,0
10/8/2023,17:42:57.932,1303,301635,0,1,1304,0
10/8/2023,17:42:58.933,1201,269696,0,1,1200,0
10/8/2023,17:42:59.933,1150,264911,0,1,1150,0
10/8/2023,17:43:00.934,1291,295370,0,1,1290,0
10/8/2023,17:43:01.935,1306,299047,0,1,1306,0
10/8/2023,17:43:02.934,1273,286595,0,1,1273,0
10/8/2023,17:43:03.934,1212,279282,0,1,1212,0
10/8/2023,17:43:04.934,1159,268403,0,1,1159,0
10/8/2023,17:43:05.935,1242,284725,0,1,1242,0
10/8/2023,17:43:06.934,1261,285127,0,1,1261,0
10/8/2023,17:43:07.935,1201,281054,0,1,1201,0
10/8/2023,17:43:08.934,1330,296254,0,1,1330,0
10/8/2023,17:43:09.935,1248,274795,0,1,1248,0
10/8/2023,17:43:10.934,1243,282404,0,1,1243,0
10/8/2023,17:43:11.936,1250,280018,0,1,1249,0
10/8/2023,17:43:12.991,1243,275967,0,1,1178,0
10/8/2023,17:43:13.940,1228,284200,0,1,1294,0
10/8/2023,17:43:14.969,1229,287384,0,1,1193,0
10/8/2023,17:43:15.934,1216,272278,0,1,1260,0
10/8/2023,17:43:17.032,1308,298348,0,1,1192,0
10/8/2023,17:43:18.016,1208,277668,0,1,1228,0
10/8/2023,17:43:18.977,1161,267849,0,1,1207,0
10/8/2023,17:43:19.989,1239,283861,0,1,1226,0
10/8/2023,17:43:20.985,1229,273132,0,1,1233,0
10/8/2023,17:43:21.943,1227,281931,0,1,1282,0
10/8/2023,17:43:22.957,1308,301536,0,1,1290,0
10/8/2023,17:43:23.964,1210,278022,0,1,1200,0
10/8/2023,17:43:24.945,1338,300098,0,1,1364,0
10/8/2023,17:43:25.945,1155,264179,0,1,1155,0
10/8/2023,17:43:26.968,1250,291132,0,1,1223,0
10/8/2023,17:43:27.947,1292,285544,0,1,1320,0
10/8/2023,17:43:28.948,1180,272002,0,1,1179,0
10/8/2023,17:43:29.947,1285,294213,0,1,1285,0
10/8/2023,17:43:30.948,1223,282801,0,1,1222,0
10/8/2023,17:43:31.949,1247,280186,0,1,1247,0
10/8/2023,17:43:32.949,1212,266260,0,1,1212,0
10/8/2023,17:43:33.948,1238,281526,0,1,1238,0
10/8/2023,17:43:34.949,1275,296347,0,1,1275,0
10/8/2023,17:43:35.948,1333,307258,0,1,1333,0
10/8/2023,17:43:36.949,1111,259686,0,1,1111,0
10/8/2023,17:43:37.950,1283,291079,0,1,1282,0
10/8/2023,17:43:38.949,1344,297892,0,1,1344,0
10/8/2023,17:43:39.949,1128,260019,0,1,1128,0
10/8/2023,17:43:40.949,1241,287420,0,1,1241,0
10/8/2023,17:43:41.949,1309,290096,0,1,1309,0
10/8/2023,17:43:42.949,1198,267977,0,1,1198,0
10/8/2023,17:43:43.950,1225,273999,0,1,1225,0
10/8/2023,17:43:44.950,1135,260788,0,1,1135,0
10/8/2023,17:43:45.955,1256,284804,0,1,1250,0
10/8/2023,17:43:46.949,1271,279433,0,1,1277,0
10/8/2023,17:43:47.982,1166,256506,0,1,1129,0
10/8/2023,17:43:48.960,1341,301210,0,1,1371,0
10/8/2023,17:43:49.949,1259,298737,0,1,1273,0
10/8/2023,17:43:50.958,1223,269868,0,1,1212,0
10/8/2023,17:43:51.959,1207,276673,0,1,1207,0
10/8/2023,17:43:52.961,1259,279022,0,1,1256,0
10/8/2023,17:43:54.002,1229,280559,0,1,1179,0
10/8/2023,17:43:54.982,1218,281003,0,1,1243,0
10/8/2023,17:43:56.041,1240,289199,0,1,1171,0
10/8/2023,17:43:56.970,1288,296191,0,1,1388,0
10/8/2023,17:43:57.978,1169,265477,0,1,1159,0
10/8/2023,17:43:58.994,1310,301216,0,1,1289,0
10/8/2023,17:43:59.976,1236,284560,0,1,1260,0
10/8/2023,17:44:00.976,1260,280777,0,1,1259,0
10/8/2023,17:44:01.976,1241,287174,0,1,1241,0
