Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,14:54:43.963,0,0,0,3,0,0
10/9/2023,14:54:44.964,520,32261,0,1,520,0
10/9/2023,14:54:45.963,542,32493,0,1,542,0
10/9/2023,14:54:46.964,556,34397,0,1,556,0
10/9/2023,14:54:47.963,550,35343,0,1,550,0
10/9/2023,14:54:48.963,519,31371,0,1,519,0
10/9/2023,14:54:49.969,554,34601,0,1,551,0
10/9/2023,14:54:50.970,554,35048,0,1,553,0
10/9/2023,14:54:51.971,545,34082,0,1,545,0
10/9/2023,14:54:52.970,567,35472,0,1,567,0
10/9/2023,14:54:53.970,558,34714,0,1,558,0
10/9/2023,14:54:54.970,553,35559,0,1,553,0
10/9/2023,14:54:55.970,529,32923,0,1,529,0
10/9/2023,14:54:56.970,585,36197,0,1,585,0
10/9/2023,14:54:57.970,553,35189,0,1,553,0
10/9/2023,14:54:58.972,510,30771,0,1,510,0
10/9/2023,14:54:59.973,550,33674,0,1,548,0
10/9/2023,14:55:00.973,559,33954,0,1,559,0
10/9/2023,14:55:01.973,559,35088,0,1,559,0
10/9/2023,14:55:02.979,518,31611,0,1,515,0
10/9/2023,14:55:03.979,558,35295,0,1,558,0
10/9/2023,14:55:04.990,555,35293,0,1,549,0
10/9/2023,14:55:05.983,542,35869,0,1,546,0
10/9/2023,14:55:06.983,514,31781,0,1,514,0
10/9/2023,14:55:07.981,577,35280,0,1,578,0
10/9/2023,14:55:08.979,549,34909,0,1,550,0
10/9/2023,14:55:09.979,544,33113,0,1,544,0
10/9/2023,14:55:10.979,514,31019,0,1,514,0
10/9/2023,14:55:11.979,579,35838,0,1,579,0
10/9/2023,14:55:12.979,529,32295,0,1,529,0
10/9/2023,14:55:13.980,520,32112,0,1,520,0
10/9/2023,14:55:14.980,589,37455,0,1,588,0
10/9/2023,14:55:15.979,549,34164,0,1,550,0
10/9/2023,14:55:16.980,520,31999,0,1,519,0
10/9/2023,14:55:17.979,548,34255,0,1,549,0
10/9/2023,14:55:18.979,569,35031,0,1,569,0
10/9/2023,14:55:19.980,537,32666,0,1,537,0
10/9/2023,14:55:20.979,534,33629,0,1,534,0
10/9/2023,14:55:21.979,546,33265,0,1,546,0
10/9/2023,14:55:22.980,582,36609,0,1,581,0
10/9/2023,14:55:23.981,561,34696,0,1,561,0
10/9/2023,14:55:24.980,537,32297,0,1,537,0
10/9/2023,14:55:25.980,572,34214,0,1,572,0
10/9/2023,14:55:26.980,527,32378,0,1,527,0
