Day,Time,Channel#,Photon Energy (keV)
10/9/2023,15:53:01.201,36,0
10/9/2023,15:53:01.201,62,0
10/9/2023,15:53:01.201,155,0
10/9/2023,15:53:02.201,57,0
10/9/2023,15:53:02.201,39,0
10/9/2023,15:53:02.201,46,0
10/9/2023,15:53:02.201,398,0
10/9/2023,15:53:02.201,490,0
10/9/2023,15:53:02.201,58,0
10/9/2023,15:53:02.201,147,0
10/9/2023,15:53:02.201,60,0
10/9/2023,15:53:02.201,992,0
10/9/2023,15:53:03.202,53,0
10/9/2023,15:53:03.202,134,0
10/9/2023,15:53:03.202,44,0
10/9/2023,15:53:03.202,138,0
10/9/2023,15:53:04.202,54,0
10/9/2023,15:53:04.202,295,0
10/9/2023,15:53:04.202,65,0
10/9/2023,15:53:04.202,70,0
10/9/2023,15:53:05.201,453,0
10/9/2023,15:53:05.201,151,0
10/9/2023,15:53:05.201,58,0
10/9/2023,15:53:06.202,51,0
10/9/2023,15:53:06.202,140,0
10/9/2023,15:53:06.202,31,0
10/9/2023,15:53:07.202,128,0
10/9/2023,15:53:07.202,63,0
10/9/2023,15:53:07.202,35,0
10/9/2023,15:53:07.202,67,0
10/9/2023,15:53:07.202,900,0
10/9/2023,15:53:07.202,71,0
10/9/2023,15:53:07.202,32,0
10/9/2023,15:53:07.202,79,0
10/9/2023,15:53:08.201,39,0
10/9/2023,15:53:08.201,1166,0
10/9/2023,15:53:08.201,51,0
10/9/2023,15:53:08.201,50,0
10/9/2023,15:53:08.201,91,0
10/9/2023,15:53:09.202,155,0
10/9/2023,15:53:09.202,328,0
10/9/2023,15:53:09.202,265,0
10/9/2023,15:53:09.202,100,0
10/9/2023,15:53:10.201,124,0
10/9/2023,15:53:10.201,59,0
10/9/2023,15:53:11.202,153,0
10/9/2023,15:53:11.202,48,0
10/9/2023,15:53:11.202,283,0
10/9/2023,15:53:12.202,60,0
10/9/2023,15:53:12.202,72,0
10/9/2023,15:53:12.202,127,0
10/9/2023,15:53:13.202,50,0
10/9/2023,15:53:13.202,56,0
10/9/2023,15:53:13.202,82,0
10/9/2023,15:53:13.202,34,0
10/9/2023,15:53:13.202,40,0
10/9/2023,15:53:13.202,177,0
10/9/2023,15:53:13.202,130,0
10/9/2023,15:53:14.203,137,0
10/9/2023,15:53:14.203,81,0
10/9/2023,15:53:14.203,43,0
10/9/2023,15:53:14.203,74,0
10/9/2023,15:53:14.203,289,0
10/9/2023,15:53:14.203,155,0
10/9/2023,15:53:14.203,393,0
10/9/2023,15:53:15.202,44,0
10/9/2023,15:53:16.202,492,0
10/9/2023,15:53:16.202,93,0
10/9/2023,15:53:16.202,103,0
10/9/2023,15:53:16.202,40,0
10/9/2023,15:53:17.208,35,0
10/9/2023,15:53:18.208,198,0
10/9/2023,15:53:18.208,76,0
10/9/2023,15:53:18.208,441,0
10/9/2023,15:53:18.208,51,0
10/9/2023,15:53:19.212,60,0
10/9/2023,15:53:20.202,60,0
10/9/2023,15:53:21.208,1001,0
10/9/2023,15:53:21.208,1363,0
10/9/2023,15:53:21.208,64,0
10/9/2023,15:53:21.208,207,0
10/9/2023,15:53:21.208,100,0
10/9/2023,15:53:22.217,127,0
10/9/2023,15:53:22.217,1245,0
10/9/2023,15:53:22.217,37,0
10/9/2023,15:53:22.217,193,0
10/9/2023,15:53:23.206,298,0
10/9/2023,15:53:23.206,66,0
10/9/2023,15:53:23.206,235,0
10/9/2023,15:53:23.206,126,0
10/9/2023,15:53:23.206,123,0
10/9/2023,15:53:24.220,1210,0
10/9/2023,15:53:24.220,38,0
10/9/2023,15:53:24.220,50,0
10/9/2023,15:53:24.220,63,0
10/9/2023,15:53:25.224,61,0
10/9/2023,15:53:25.224,129,0
10/9/2023,15:53:25.224,458,0
10/9/2023,15:53:26.211,291,0
10/9/2023,15:53:26.211,125,0
10/9/2023,15:53:26.211,47,0
10/9/2023,15:53:26.211,246,0
10/9/2023,15:53:26.211,72,0
10/9/2023,15:53:27.206,105,0
10/9/2023,15:53:27.206,36,0
10/9/2023,15:53:27.206,35,0
10/9/2023,15:53:28.205,160,0
10/9/2023,15:53:28.205,32,0
10/9/2023,15:53:29.205,143,0
10/9/2023,15:53:29.205,64,0
10/9/2023,15:53:29.205,183,0
10/9/2023,15:53:29.205,475,0
10/9/2023,15:53:30.204,165,0
10/9/2023,15:53:30.204,74,0
10/9/2023,15:53:30.204,40,0
10/9/2023,15:53:30.204,110,0
10/9/2023,15:53:31.205,100,0
10/9/2023,15:53:31.205,36,0
10/9/2023,15:53:31.205,289,0
10/9/2023,15:53:31.205,457,0
10/9/2023,15:53:31.205,41,0
10/9/2023,15:53:32.205,63,0
10/9/2023,15:53:32.205,86,0
10/9/2023,15:53:32.205,258,0
10/9/2023,15:53:32.205,59,0
10/9/2023,15:53:32.205,51,0
10/9/2023,15:53:33.206,73,0
10/9/2023,15:53:33.206,563,0
10/9/2023,15:53:33.206,67,0
10/9/2023,15:53:33.206,745,0
10/9/2023,15:53:33.206,33,0
10/9/2023,15:53:34.205,74,0
10/9/2023,15:53:34.205,100,0
10/9/2023,15:53:35.205,31,0
10/9/2023,15:53:35.205,80,0
10/9/2023,15:53:36.243,734,0
10/9/2023,15:53:36.243,177,0
10/9/2023,15:53:36.243,242,0
10/9/2023,15:53:36.243,92,0
10/9/2023,15:53:36.243,369,0
10/9/2023,15:53:36.243,285,0
10/9/2023,15:53:37.360,100,0
