Day,Time,Events in Interval,Events Added,Energy Received,Interval Length,gamma CPS,gamma Dose
10/9/2023,15:53:00.201,0,0,0,1,0,0
10/9/2023,15:53:01.201,3,253,0,1,3,0
10/9/2023,15:53:02.201,9,2287,0,1,9,0
10/9/2023,15:53:03.202,4,369,0,1,4,0
10/9/2023,15:53:04.202,4,484,0,1,4,0
10/9/2023,15:53:05.201,3,662,0,1,3,0
10/9/2023,15:53:06.202,3,222,0,1,3,0
10/9/2023,15:53:07.202,8,1375,0,1,8,0
10/9/2023,15:53:08.201,5,1397,0,1,5,0
10/9/2023,15:53:09.202,4,848,0,1,4,0
10/9/2023,15:53:10.201,2,183,0,1,2,0
10/9/2023,15:53:11.202,3,484,0,1,3,0
10/9/2023,15:53:12.202,3,259,0,1,3,0
10/9/2023,15:53:13.202,7,569,0,1,7,0
10/9/2023,15:53:14.203,7,1172,0,1,7,0
10/9/2023,15:53:15.202,1,44,0,1,1,0
10/9/2023,15:53:16.202,4,728,0,1,4,0
10/9/2023,15:53:17.208,1,35,0,1,1,0
10/9/2023,15:53:18.208,4,766,0,1,4,0
10/9/2023,15:53:19.212,1,60,0,1,1,0
10/9/2023,15:53:20.202,1,60,0,1,1,0
10/9/2023,15:53:21.208,5,2735,0,1,5,0
10/9/2023,15:53:22.217,4,1602,0,1,4,0
10/9/2023,15:53:23.206,5,848,0,1,5,0
10/9/2023,15:53:24.220,4,1361,0,1,4,0
10/9/2023,15:53:25.224,3,648,0,1,3,0
10/9/2023,15:53:26.211,5,781,0,1,5,0
10/9/2023,15:53:27.206,3,176,0,1,3,0
10/9/2023,15:53:28.205,2,192,0,1,2,0
10/9/2023,15:53:29.205,4,865,0,1,4,0
10/9/2023,15:53:30.204,4,389,0,1,4,0
10/9/2023,15:53:31.205,5,923,0,1,5,0
10/9/2023,15:53:32.205,5,517,0,1,5,0
10/9/2023,15:53:33.206,5,1481,0,1,5,0
10/9/2023,15:53:34.205,2,174,0,1,2,0
10/9/2023,15:53:35.205,2,111,0,1,2,0
10/9/2023,15:53:36.243,6,1899,0,1,6,0
10/9/2023,15:53:37.360,3,339,0,1,3,0
10/9/2023,15:53:38.459,1,463,0,1,1,0
10/9/2023,15:53:39.517,5,1162,0,1,5,0
10/9/2023,15:53:40.249,1,356,0,1,1,0
10/9/2023,15:53:41.361,3,292,0,1,3,0
10/9/2023,15:53:42.449,2,379,0,1,2,0
10/9/2023,15:53:44.011,3,295,0,2,2,0
10/9/2023,15:53:44.395,0,0,0,0,0,0
10/9/2023,15:53:45.304,3,215,0,1,3,0
10/9/2023,15:53:46.289,3,351,0,1,3,0
10/9/2023,15:53:47.697,5,905,0,1,4,0
10/9/2023,15:53:48.670,0,0,0,1,0,0
10/9/2023,15:53:49.216,2,124,0,1,4,0
10/9/2023,15:53:50.231,2,530,0,1,2,0
10/9/2023,15:53:51.333,3,1466,0,1,3,0
10/9/2023,15:53:52.333,3,469,0,1,3,0
10/9/2023,15:53:53.412,3,195,0,1,3,0
10/9/2023,15:53:54.445,1,49,0,1,1,0
10/9/2023,15:53:55.251,3,498,0,1,4,0
10/9/2023,15:53:56.277,8,1032,0,1,8,0
10/9/2023,15:53:57.224,3,193,0,1,3,0
10/9/2023,15:53:58.218,6,538,0,1,6,0
10/9/2023,15:53:59.220,0,0,0,1,0,0
10/9/2023,15:54:00.347,6,395,0,1,5,0
10/9/2023,15:54:02.003,2,103,0,2,1,0
10/9/2023,15:54:02.572,0,0,0,1,0,0
10/9/2023,15:54:03.611,6,1010,0,1,6,0
10/9/2023,15:54:04.306,4,229,0,1,6,0
10/9/2023,15:54:05.566,1,1158,0,1,1,0
10/9/2023,15:54:06.465,3,202,0,1,3,0
10/9/2023,15:54:07.385,1,56,0,1,1,0
10/9/2023,15:54:08.355,3,238,0,1,3,0
10/9/2023,15:54:10.098,1,37,0,2,1,0
10/9/2023,15:54:10.380,0,0,0,0,0,0
10/9/2023,15:54:11.461,3,261,0,1,3,0
10/9/2023,15:54:12.632,3,603,0,1,3,0
10/9/2023,15:54:13.868,4,1587,0,1,3,0
10/9/2023,15:54:14.274,1,51,0,0,2,0
10/9/2023,15:54:15.301,5,1363,0,1,5,0
10/9/2023,15:54:16.626,2,520,0,1,2,0
10/9/2023,15:54:17.310,4,604,0,1,6,0
10/9/2023,15:54:18.903,3,332,0,2,2,0
10/9/2023,15:54:19.597,1,49,0,1,1,0
10/9/2023,15:54:20.824,3,265,0,1,2,0
10/9/2023,15:54:21.444,0,0,0,1,0,0
10/9/2023,15:54:22.491,4,268,0,1,4,0
10/9/2023,15:54:23.249,3,1277,0,1,4,0
10/9/2023,15:54:24.267,4,460,0,1,4,0
10/9/2023,15:54:25.407,2,257,0,1,2,0
10/9/2023,15:54:26.765,1,152,0,1,1,0
10/9/2023,15:54:27.226,1,37,0,0,2,0
10/9/2023,15:54:28.344,2,270,0,1,2,0
10/9/2023,15:54:29.328,2,507,0,1,2,0
10/9/2023,15:54:30.962,8,1058,0,2,5,0
10/9/2023,15:54:31.529,1,68,0,1,2,0
10/9/2023,15:54:32.729,0,0,0,1,0,0
10/9/2023,15:54:33.278,0,0,0,1,0,0
10/9/2023,15:54:34.276,4,1256,0,1,4,0
10/9/2023,15:54:35.569,4,843,0,1,3,0
10/9/2023,15:54:36.251,4,1459,0,1,6,0
10/9/2023,15:54:37.345,0,0,0,1,0,0
10/9/2023,15:54:38.294,3,217,0,1,3,0
10/9/2023,15:54:39.307,1,46,0,1,1,0
10/9/2023,15:54:40.672,5,355,0,1,4,0
10/9/2023,15:54:41.309,3,690,0,1,5,0
10/9/2023,15:54:42.379,0,0,0,1,0,0
10/9/2023,15:54:43.561,2,104,0,1,2,0
10/9/2023,15:54:44.576,0,0,0,1,0,0
10/9/2023,15:54:45.322,0,0,0,1,0,0
10/9/2023,15:54:46.398,4,902,0,1,4,0
10/9/2023,15:54:47.423,3,161,0,1,3,0
10/9/2023,15:54:48.243,0,0,0,1,0,0
10/9/2023,15:54:49.302,3,458,0,1,3,0
10/9/2023,15:54:50.248,1,41,0,1,1,0
10/9/2023,15:54:51.852,0,0,0,2,0,0
10/9/2023,15:54:52.341,1,54,0,0,2,0
10/9/2023,15:54:53.395,1,57,0,1,1,0
10/9/2023,15:54:54.372,1,50,0,1,1,0
10/9/2023,15:54:55.487,1,291,0,1,1,0
10/9/2023,15:54:56.430,1,584,0,1,1,0
10/9/2023,15:54:57.328,1,1229,0,1,1,0
10/9/2023,15:54:58.285,7,2991,0,1,7,0
10/9/2023,15:54:59.326,4,322,0,1,4,0
10/9/2023,15:55:00.350,2,77,0,1,2,0
10/9/2023,15:55:01.374,4,498,0,1,4,0
10/9/2023,15:55:03.324,6,1382,0,2,3,0
10/9/2023,15:55:03.504,0,0,0,0,0,0
10/9/2023,15:55:04.376,1,89,0,1,1,0
10/9/2023,15:55:05.368,3,630,0,1,3,0
10/9/2023,15:55:06.472,2,434,0,1,2,0
10/9/2023,15:55:07.391,2,386,0,1,2,0
10/9/2023,15:55:08.630,2,141,0,1,2,0
10/9/2023,15:55:09.680,3,186,0,1,3,0
10/9/2023,15:55:10.617,5,695,0,1,5,0
10/9/2023,15:55:11.486,3,328,0,1,3,0
10/9/2023,15:55:12.483,6,1501,0,1,6,0
10/9/2023,15:55:13.431,2,100,0,1,2,0
10/9/2023,15:55:14.358,3,525,0,1,3,0
10/9/2023,15:55:15.406,2,287,0,1,2,0
10/9/2023,15:55:16.862,2,226,0,1,1,0
10/9/2023,15:55:17.405,2,130,0,1,4,0
10/9/2023,15:55:18.430,4,575,0,1,4,0
10/9/2023,15:55:19.459,1,292,0,1,1,0
10/9/2023,15:55:20.457,4,405,0,1,4,0
10/9/2023,15:55:21.731,3,334,0,1,2,0
10/9/2023,15:55:22.548,6,1035,0,1,7,0
10/9/2023,15:55:23.775,0,0,0,1,0,0
10/9/2023,15:55:24.373,2,310,0,1,3,0
10/9/2023,15:55:25.597,3,483,0,1,2,0
10/9/2023,15:55:26.384,0,0,0,1,0,0
10/9/2023,15:55:27.451,3,124,0,1,3,0
10/9/2023,15:55:28.716,0,0,0,1,0,0
10/9/2023,15:55:29.375,3,1490,0,1,5,0
10/9/2023,15:55:30.670,3,188,0,1,2,0
10/9/2023,15:55:31.992,6,624,0,1,5,0
10/9/2023,15:55:32.480,0,0,0,0,0,0
10/9/2023,15:55:33.937,2,101,0,1,1,0
10/9/2023,15:55:34.424,0,0,0,0,0,0
10/9/2023,15:55:35.486,6,1914,0,1,6,0
10/9/2023,15:55:36.890,3,159,0,1,2,0
10/9/2023,15:55:37.599,1,546,0,1,1,0
10/9/2023,15:55:38.439,3,386,0,1,4,0
10/9/2023,15:55:39.416,6,1019,0,1,6,0
10/9/2023,15:55:40.576,2,491,0,1,2,0
10/9/2023,15:55:41.541,2,154,0,1,2,0
10/9/2023,15:55:42.595,7,1105,0,1,7,0
10/9/2023,15:55:43.400,2,853,0,1,2,0
10/9/2023,15:55:44.407,3,576,0,1,3,0
10/9/2023,15:55:45.411,7,646,0,1,7,0
10/9/2023,15:55:46.370,4,227,0,1,4,0
10/9/2023,15:55:47.505,1,34,0,1,1,0
10/9/2023,15:55:48.510,6,2268,0,1,6,0
10/9/2023,15:55:49.579,8,1005,0,1,7,0
10/9/2023,15:55:50.400,0,0,0,1,0,0
10/9/2023,15:55:51.499,4,404,0,1,4,0
10/9/2023,15:55:52.653,4,1351,0,1,3,0
